SiteCode|ItemCode|FirstStockedDate|StockOnHand|StockReserved|DefaultCostPrice|DefaultSellingPrice|SupplierCode|SourceSite|FromSupplierFlag|StockingIndicator|OrderMultiple|ActiveFlag
STORE_001|ITM_BAS_0001|2024-04-01 00:00:00|59|0|7.8|19.5|SUP_002|DC_01|0|Y|1|1
STORE_001|ITM_BAS_0002|2024-04-01 00:00:00|58|0|9.27|23.17|SUP_003|DC_01|0|Y|1|1
STORE_001|ITM_BAS_0003|2024-04-01 00:00:00|87|0|3.79|9.48|SUP_004|DC_01|0|Y|1|1
STORE_001|ITM_BAS_0004|2024-04-01 00:00:00|36|0|6.07|15.17|SUP_005|DC_01|0|Y|1|1
STORE_001|ITM_BAS_0005|2024-04-01 00:00:00|67|0|3.4|8.51|SUP_006|DC_01|0|Y|1|1
STORE_001|ITM_BAS_0006|2024-04-01 00:00:00|68|0|4.69|11.72|SUP_007|DC_01|0|Y|1|1
STORE_001|ITM_BAS_0007|2024-04-01 00:00:00|53|0|6.64|16.59|SUP_008|DC_01|0|Y|1|1
STORE_001|ITM_BAS_0008|2024-04-01 00:00:00|84|0|3.38|8.45|SUP_009|DC_01|0|Y|1|1
STORE_001|ITM_BAS_0009|2024-04-01 00:00:00|66|0|4.55|11.38|SUP_010|DC_01|0|Y|1|1
STORE_001|ITM_BAS_0010|2024-04-01 00:00:00|27|0|7.62|19.05|SUP_001|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0011|2024-04-01 00:00:00|13|0|20.03|52.7|SUP_002|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0012|2024-04-01 00:00:00|26|0|12.63|33.23|SUP_003|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0013|2024-04-01 00:00:00|32|0|21.04|55.36|SUP_004|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0014|2024-04-01 00:00:00|18|0|26.06|68.57|SUP_005|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0015|2024-04-01 00:00:00|35|0|7.75|20.39|SUP_006|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0016|2024-04-01 00:00:00|44|0|25.97|68.35|SUP_007|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0017|2024-04-01 00:00:00|20|0|23.52|61.89|SUP_008|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0018|2024-04-01 00:00:00|45|0|15.36|40.42|SUP_009|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0019|2024-04-01 00:00:00|19|0|11.15|29.33|SUP_010|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0020|2024-04-01 00:00:00|47|0|29.42|77.43|SUP_001|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0021|2024-04-01 00:00:00|13|0|15.28|40.2|SUP_002|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0022|2024-04-01 00:00:00|55|0|9.71|25.56|SUP_003|DC_01|0|Y|1|1
STORE_001|ITM_BOT_0023|2024-04-01 00:00:00|56|0|14.71|36.77|SUP_004|DC_01|0|Y|1|1
