SiteCode|ItemCode|SalesTypeCode|ReturnFlag|SalesDate|SalesQuantity|TotalCost|TotalRevenue|TotalOriginalRetail
STORE_001|ITM_BAS_0001|Regular|0|2024-04-01 00:00:00|2|15.6|39.0|39.0
STORE_001|ITM_BAS_0002|Regular|0|2024-04-01 00:00:00|12|111.24|278.04|278.04
STORE_001|ITM_BAS_0003|Regular|0|2024-04-01 00:00:00|12|45.48|113.76|113.76
STORE_001|ITM_BAS_0004|Regular|0|2024-04-01 00:00:00|7|42.49|106.19|106.19
STORE_001|ITM_BAS_0005|Regular|0|2024-04-01 00:00:00|7|23.8|59.57|59.57
STORE_001|ITM_BAS_0006|Regular|0|2024-04-01 00:00:00|14|65.66|164.08|164.08
STORE_001|ITM_BAS_0007|Regular|0|2024-04-01 00:00:00|7|46.48|116.13|116.13
STORE_001|ITM_BAS_0008|Regular|0|2024-04-01 00:00:00|10|33.8|84.5|84.5
STORE_001|ITM_BAS_0009|Regular|0|2024-04-01 00:00:00|13|59.15|147.94|147.94
STORE_001|ITM_BAS_0010|Regular|0|2024-04-01 00:00:00|10|76.2|190.5|190.5
STORE_001|ITM_TOP_0011|Regular|0|2024-04-01 00:00:00|4|80.12|210.8|210.8
STORE_001|ITM_TOP_0012|Regular|0|2024-04-01 00:00:00|2|25.26|66.46|66.46
STORE_001|ITM_TOP_0013|Regular|0|2024-04-01 00:00:00|2|42.08|110.72|110.72
STORE_001|ITM_TOP_0014|Regular|0|2024-04-01 00:00:00|2|52.12|137.14|137.14
STORE_001|ITM_TOP_0015|Regular|0|2024-04-01 00:00:00|4|31.0|81.56|81.56
STORE_001|ITM_TOP_0016|Regular|0|2024-04-01 00:00:00|5|129.85|341.75|341.75
STORE_001|ITM_TOP_0017|Regular|0|2024-04-01 00:00:00|1|23.52|61.89|61.89
STORE_001|ITM_TOP_0018|Regular|0|2024-04-01 00:00:00|8|122.88|323.36|323.36
STORE_001|ITM_TOP_0020|Regular|0|2024-04-01 00:00:00|9|264.78|696.87|696.87
STORE_001|ITM_TOP_0021|Regular|0|2024-04-01 00:00:00|2|30.56|80.4|80.4
STORE_001|ITM_TOP_0022|Regular|0|2024-04-01 00:00:00|3|29.13|76.68|76.68
STORE_001|ITM_BOT_0023|Regular|0|2024-04-01 00:00:00|8|117.68|294.16|294.16
STORE_001|ITM_BOT_0024|Regular|0|2024-04-01 00:00:00|4|142.92|357.28|357.28
STORE_001|ITM_BOT_0025|Regular|0|2024-04-01 00:00:00|4|115.6|289.04|289.04
STORE_001|ITM_BOT_0026|Regular|0|2024-04-01 00:00:00|2|69.2|173.0|173.0
