PurchaseOrderNumber|PurchaseOrderDate|IBTFlag|SupplierOrderStatus|ReceiveNoLaterThan
PO_CLOTH01_20240401_DC_01_IBT_000001|2024-04-01 00:00:00|1|Delivered|2024-04-01 00:00:00
PO_CLOTH01_20240401_DC_01_IBT_000002|2024-04-01 00:00:00|1|Delivered|2024-04-01 00:00:00
PO_CLOTH01_20240401_DC_01_IBT_000003|2024-04-01 00:00:00|1|Delivered|2024-04-01 00:00:00
PO_CLOTH01_20240401_DC_01_IBT_000004|2024-04-01 00:00:00|1|Delivered|2024-04-01 00:00:00
PO_CLOTH01_20240401_DC_01_IBT_000005|2024-04-01 00:00:00|1|Delivered|2024-04-01 00:00:00
PO_CLOTH01_20240401_DC_01_000006|2024-04-01 00:00:00|0|Placed|2024-04-19 00:00:00
PO_CLOTH01_20240401_DC_01_000007|2024-04-01 00:00:00|0|Placed|2024-04-12 00:00:00
PO_CLOTH01_20240401_DC_01_000008|2024-04-01 00:00:00|0|Placed|2024-04-11 00:00:00
PO_CLOTH01_20240401_DC_01_000009|2024-04-01 00:00:00|0|Placed|2024-04-18 00:00:00
PO_CLOTH01_20240401_DC_01_000010|2024-04-01 00:00:00|0|Placed|2024-04-09 00:00:00
PO_CLOTH01_20240401_DC_01_000011|2024-04-01 00:00:00|0|Placed|2024-04-08 00:00:00
PO_CLOTH01_20240401_DC_01_000012|2024-04-01 00:00:00|0|Placed|2024-04-12 00:00:00
PO_CLOTH01_20240401_DC_01_000013|2024-04-01 00:00:00|0|Placed|2024-04-19 00:00:00
PO_CLOTH01_20240401_DC_01_000014|2024-04-01 00:00:00|0|Placed|2024-04-09 00:00:00
PO_CLOTH01_20240401_DC_01_000015|2024-04-01 00:00:00|0|Placed|2024-04-09 00:00:00
PO_CLOTH01_20240401_DC_01_000016|2024-04-01 00:00:00|0|Placed|2024-04-11 00:00:00
PO_CLOTH01_20240401_DC_01_000017|2024-04-01 00:00:00|0|Placed|2024-04-19 00:00:00
PO_CLOTH01_20240401_DC_01_000018|2024-04-01 00:00:00|0|Placed|2024-04-18 00:00:00
PO_CLOTH01_20240401_DC_01_000019|2024-04-01 00:00:00|0|Placed|2024-04-08 00:00:00
PO_CLOTH01_20240401_DC_01_000020|2024-04-01 00:00:00|0|Placed|2024-04-19 00:00:00
PO_CLOTH01_20240401_DC_01_000021|2024-04-01 00:00:00|0|Placed|2024-04-11 00:00:00
PO_CLOTH01_20240401_DC_01_000022|2024-04-01 00:00:00|0|Placed|2024-04-10 00:00:00
PO_CLOTH01_20240401_DC_01_000023|2024-04-01 00:00:00|0|Placed|2024-04-09 00:00:00
PO_CLOTH01_20240401_DC_01_000024|2024-04-01 00:00:00|0|Placed|2024-04-08 00:00:00
PO_CLOTH01_20240401_DC_01_000025|2024-04-01 00:00:00|0|Placed|2024-04-19 00:00:00
PO_CLOTH01_20240401_DC_01_000026|2024-04-01 00:00:00|0|Placed|2024-04-12 00:00:00
PO_CLOTH01_20240402_DC_01_IBT_000027|2024-04-02 00:00:00|1|Delivered|2024-04-02 00:00:00
PO_CLOTH01_20240402_DC_01_IBT_000028|2024-04-02 00:00:00|1|Delivered|2024-04-02 00:00:00
PO_CLOTH01_20240402_DC_01_IBT_000029|2024-04-02 00:00:00|1|Delivered|2024-04-02 00:00:00
PO_CLOTH01_20240402_DC_01_IBT_000030|2024-04-02 00:00:00|1|Delivered|2024-04-02 00:00:00
PO_CLOTH01_20240402_DC_01_IBT_000031|2024-04-02 00:00:00|1|Delivered|2024-04-02 00:00:00
PO_CLOTH01_20240403_DC_01_IBT_000032|2024-04-03 00:00:00|1|Delivered|2024-04-03 00:00:00
PO_CLOTH01_20240403_DC_01_IBT_000033|2024-04-03 00:00:00|1|Delivered|2024-04-03 00:00:00
PO_CLOTH01_20240403_DC_01_IBT_000034|2024-04-03 00:00:00|1|Delivered|2024-04-03 00:00:00
PO_CLOTH01_20240403_DC_01_IBT_000035|2024-04-03 00:00:00|1|Delivered|2024-04-03 00:00:00
PO_CLOTH01_20240403_DC_01_IBT_000036|2024-04-03 00:00:00|1|Delivered|2024-04-03 00:00:00
PO_CLOTH01_20240404_DC_01_IBT_000037|2024-04-04 00:00:00|1|Delivered|2024-04-04 00:00:00
PO_CLOTH01_20240404_DC_01_IBT_000038|2024-04-04 00:00:00|1|Delivered|2024-04-04 00:00:00
PO_CLOTH01_20240404_DC_01_IBT_000039|2024-04-04 00:00:00|1|Delivered|2024-04-04 00:00:00
PO_CLOTH01_20240404_DC_01_IBT_000040|2024-04-04 00:00:00|1|Delivered|2024-04-04 00:00:00
PO_CLOTH01_20240404_DC_01_IBT_000041|2024-04-04 00:00:00|1|Delivered|2024-04-04 00:00:00
PO_CLOTH01_20240405_DC_01_IBT_000042|2024-04-05 00:00:00|1|Delivered|2024-04-05 00:00:00
PO_CLOTH01_20240405_DC_01_IBT_000043|2024-04-05 00:00:00|1|Delivered|2024-04-05 00:00:00
PO_CLOTH01_20240405_DC_01_IBT_000044|2024-04-05 00:00:00|1|Delivered|2024-04-05 00:00:00
PO_CLOTH01_20240405_DC_01_IBT_000045|2024-04-05 00:00:00|1|Delivered|2024-04-05 00:00:00
PO_CLOTH01_20240405_DC_01_IBT_000046|2024-04-05 00:00:00|1|Delivered|2024-04-05 00:00:00
PO_CLOTH01_20240406_DC_01_IBT_000047|2024-04-06 00:00:00|1|Delivered|2024-04-06 00:00:00
PO_CLOTH01_20240406_DC_01_IBT_000048|2024-04-06 00:00:00|1|Delivered|2024-04-06 00:00:00
PO_CLOTH01_20240406_DC_01_IBT_000049|2024-04-06 00:00:00|1|Delivered|2024-04-06 00:00:00
PO_CLOTH01_20240406_DC_01_IBT_000050|2024-04-06 00:00:00|1|Delivered|2024-04-06 00:00:00
PO_CLOTH01_20240406_DC_01_IBT_000051|2024-04-06 00:00:00|1|Delivered|2024-04-06 00:00:00
PO_CLOTH01_20240407_DC_01_IBT_000052|2024-04-07 00:00:00|1|Delivered|2024-04-07 00:00:00
PO_CLOTH01_20240407_DC_01_IBT_000053|2024-04-07 00:00:00|1|Delivered|2024-04-07 00:00:00
PO_CLOTH01_20240407_DC_01_IBT_000054|2024-04-07 00:00:00|1|Delivered|2024-04-07 00:00:00
PO_CLOTH01_20240407_DC_01_IBT_000055|2024-04-07 00:00:00|1|Delivered|2024-04-07 00:00:00
PO_CLOTH01_20240407_DC_01_IBT_000056|2024-04-07 00:00:00|1|Delivered|2024-04-07 00:00:00
PO_CLOTH01_20240408_DC_01_IBT_000057|2024-04-08 00:00:00|1|Delivered|2024-04-08 00:00:00
PO_CLOTH01_20240408_DC_01_IBT_000058|2024-04-08 00:00:00|1|Delivered|2024-04-08 00:00:00
PO_CLOTH01_20240408_DC_01_IBT_000059|2024-04-08 00:00:00|1|Delivered|2024-04-08 00:00:00
PO_CLOTH01_20240408_DC_01_IBT_000060|2024-04-08 00:00:00|1|Delivered|2024-04-08 00:00:00
PO_CLOTH01_20240408_DC_01_IBT_000061|2024-04-08 00:00:00|1|Delivered|2024-04-08 00:00:00
PO_CLOTH01_20240408_DC_01_000062|2024-04-08 00:00:00|0|Placed|2024-04-16 00:00:00
PO_CLOTH01_20240408_DC_01_000063|2024-04-08 00:00:00|0|Placed|2024-04-15 00:00:00
PO_CLOTH01_20240408_DC_01_000064|2024-04-08 00:00:00|0|Placed|2024-04-26 00:00:00
PO_CLOTH01_20240408_DC_01_000065|2024-04-08 00:00:00|0|Placed|2024-04-19 00:00:00
PO_CLOTH01_20240408_DC_01_000066|2024-04-08 00:00:00|0|Placed|2024-04-18 00:00:00
PO_CLOTH01_20240408_DC_01_000067|2024-04-08 00:00:00|0|Placed|2024-04-17 00:00:00
PO_CLOTH01_20240408_DC_01_000068|2024-04-08 00:00:00|0|Placed|2024-04-26 00:00:00
PO_CLOTH01_20240408_DC_01_000069|2024-04-08 00:00:00|0|Placed|2024-04-16 00:00:00
PO_CLOTH01_20240408_DC_01_000070|2024-04-08 00:00:00|0|Placed|2024-04-25 00:00:00
PO_CLOTH01_20240408_DC_01_000071|2024-04-08 00:00:00|0|Placed|2024-04-19 00:00:00
PO_CLOTH01_20240408_DC_01_000072|2024-04-08 00:00:00|0|Placed|2024-04-18 00:00:00
PO_CLOTH01_20240408_DC_01_000073|2024-04-08 00:00:00|0|Placed|2024-04-18 00:00:00
PO_CLOTH01_20240408_DC_01_000074|2024-04-08 00:00:00|0|Placed|2024-04-17 00:00:00
PO_CLOTH01_20240408_DC_01_000075|2024-04-08 00:00:00|0|Placed|2024-04-16 00:00:00
PO_CLOTH01_20240408_DC_01_000076|2024-04-08 00:00:00|0|Placed|2024-04-25 00:00:00
PO_CLOTH01_20240408_DC_01_000077|2024-04-08 00:00:00|0|Placed|2024-04-16 00:00:00
PO_CLOTH01_20240408_DC_01_000078|2024-04-08 00:00:00|0|Placed|2024-04-15 00:00:00
PO_CLOTH01_20240408_DC_01_000079|2024-04-08 00:00:00|0|Placed|2024-04-26 00:00:00
PO_CLOTH01_20240408_DC_01_000080|2024-04-08 00:00:00|0|Placed|2024-04-19 00:00:00
PO_CLOTH01_20240408_DC_01_000081|2024-04-08 00:00:00|0|Placed|2024-04-18 00:00:00
PO_CLOTH01_20240408_DC_01_000082|2024-04-08 00:00:00|0|Placed|2024-04-17 00:00:00
PO_CLOTH01_20240408_DC_01_000083|2024-04-08 00:00:00|0|Placed|2024-04-26 00:00:00
PO_CLOTH01_20240408_DC_01_000084|2024-04-08 00:00:00|0|Placed|2024-04-16 00:00:00
PO_CLOTH01_20240408_DC_01_000085|2024-04-08 00:00:00|0|Placed|2024-04-25 00:00:00
PO_CLOTH01_20240408_DC_01_000086|2024-04-08 00:00:00|0|Placed|2024-04-16 00:00:00
