GRVNumber|PurchaseOrderNumber|SiteCode|ItemCode|ReceivedQuantity|ActualReceiptDate|IBTSourceSite|SupplierCode|PurchaseOrderLineNumber|TotalCost|ReceiptCurrencyCode
GRV_CLOTH01_000001|PO_CLOTH01_20240401_DC_01_000011|DC_01|ITM_TOP_0012|80|2024-04-08 00:00:00||SUP_003|1|1010.4|USD
GRV_CLOTH01_000002|PO_CLOTH01_20240401_DC_01_000019|DC_01|ITM_BOT_0032|30|2024-04-08 00:00:00||SUP_003|1|1056.6|USD
GRV_CLOTH01_000003|PO_CLOTH01_20240401_DC_01_000024|DC_01|ITM_OUT_0042|112|2024-04-08 00:00:00||SUP_003|1|5152.0|USD
GRV_CLOTH01_000004|PO_CLOTH01_20240401_DC_01_000014|DC_01|ITM_TOP_0019|26|2024-04-09 00:00:00||SUP_010|1|289.9|USD
GRV_CLOTH01_000005|PO_CLOTH01_20240401_DC_01_000015|DC_01|ITM_TOP_0021|34|2024-04-09 00:00:00||SUP_002|1|519.52|USD
GRV_CLOTH01_000006|PO_CLOTH01_20240401_DC_01_000023|DC_01|ITM_FOO_0039|143|2024-04-09 00:00:00||SUP_010|1|4314.31|USD
GRV_CLOTH01_000007|PO_CLOTH01_20240401_DC_01_000022|DC_01|ITM_FOO_0037|2|2024-04-10 00:00:00||SUP_008|1|37.84|USD
GRV_CLOTH01_000008|PO_CLOTH01_20240401_DC_01_000008|DC_01|ITM_BAS_0006|622|2024-04-11 00:00:00||SUP_007|1|2917.18|USD
GRV_CLOTH01_000009|PO_CLOTH01_20240401_DC_01_000016|DC_01|ITM_BOT_0026|233|2024-04-11 00:00:00||SUP_007|1|8061.8|USD
GRV_CLOTH01_000010|PO_CLOTH01_20240401_DC_01_000021|DC_01|ITM_FOO_0035|87|2024-04-11 00:00:00||SUP_006|1|3781.89|USD
GRV_CLOTH01_000011|PO_CLOTH01_20240401_DC_01_000007|DC_01|ITM_BAS_0004|78|2024-04-12 00:00:00||SUP_005|1|473.46|USD
GRV_CLOTH01_000012|PO_CLOTH01_20240401_DC_01_000012|DC_01|ITM_TOP_0014|89|2024-04-12 00:00:00||SUP_005|1|2319.34|USD
GRV_CLOTH01_000013|PO_CLOTH01_20240401_DC_01_000026|DC_01|ITM_OUT_0044|60|2024-04-12 00:00:00||SUP_005|1|5935.8|USD
GRV_CLOTH01_000014|PO_CLOTH01_20240401_DC_01_000010|DC_01|ITM_TOP_0011|118|2024-04-12 00:00:00||SUP_002|1|2363.54|USD
GRV_CLOTH01_000015|PO_CLOTH01_20240401_DC_01_000011|DC_01|ITM_TOP_0012|16|2024-04-13 00:00:00||SUP_003|1|202.08|USD
GRV_CLOTH01_000016|PO_CLOTH01_20240408_DC_01_000063|DC_01|ITM_BAS_0002|238|2024-04-15 00:00:00||SUP_003|1|2206.26|USD
GRV_CLOTH01_000017|PO_CLOTH01_20240408_DC_01_000078|DC_01|ITM_TOP_0022|130|2024-04-15 00:00:00||SUP_003|1|1262.3|USD
GRV_CLOTH01_000018|PO_CLOTH01_20240408_DC_01_000087|DC_01|ITM_BOT_0032|195|2024-04-15 00:00:00||SUP_003|1|6867.9|USD
GRV_CLOTH01_000019|PO_CLOTH01_20240408_DC_01_000062|DC_01|ITM_BAS_0001|340|2024-04-16 00:00:00||SUP_002|1|2652.0|USD
GRV_CLOTH01_000020|PO_CLOTH01_20240408_DC_01_000069|DC_01|ITM_BAS_0009|357|2024-04-16 00:00:00||SUP_010|1|1624.35|USD
GRV_CLOTH01_000021|PO_CLOTH01_20240408_DC_01_000075|DC_01|ITM_TOP_0019|32|2024-04-16 00:00:00||SUP_010|1|356.8|USD
GRV_CLOTH01_000022|PO_CLOTH01_20240408_DC_01_000086|DC_01|ITM_BOT_0031|46|2024-04-16 00:00:00||SUP_002|1|1263.16|USD
GRV_CLOTH01_000023|PO_CLOTH01_20240408_DC_01_000067|DC_01|ITM_BAS_0007|224|2024-04-17 00:00:00||SUP_008|1|1487.36|USD
GRV_CLOTH01_000024|PO_CLOTH01_20240408_DC_01_000074|DC_01|ITM_TOP_0017|10|2024-04-17 00:00:00||SUP_008|1|235.2|USD
GRV_CLOTH01_000025|PO_CLOTH01_20240408_DC_01_000082|DC_01|ITM_BOT_0027|164|2024-04-17 00:00:00||SUP_008|1|5318.52|USD
