DeliveryNoteNumber|CustomerOrderNumber|SiteCode|ItemCode|DeliveredQuantity|ActualDeliveryDate|CustomerOrderLineNumber
DN_CLOTH01_20240401_STORE_001_000001|CO_CLOTH01_20240401_STORE_001_0001|STORE_001|ITM_BAS_0001|3|2024-04-01 00:00:00|1
DN_CLOTH01_20240401_STORE_001_000001|CO_CLOTH01_20240401_STORE_001_0001|STORE_001|ITM_BAS_0002|15|2024-04-01 00:00:00|2
DN_CLOTH01_20240401_STORE_001_000001|CO_CLOTH01_20240401_STORE_001_0001|STORE_001|ITM_TOP_0003|5|2024-04-01 00:00:00|3
DN_CLOTH01_20240401_STORE_001_000001|CO_CLOTH01_20240401_STORE_001_0001|STORE_001|ITM_TOP_0004|1|2024-04-01 00:00:00|4
DN_CLOTH01_20240401_STORE_001_000001|CO_CLOTH01_20240401_STORE_001_0001|STORE_001|ITM_BOT_0005|1|2024-04-01 00:00:00|5
DN_CLOTH01_20240401_STORE_002_000002|CO_CLOTH01_20240401_STORE_002_0002|STORE_002|ITM_BAS_0001|15|2024-04-01 00:00:00|1
DN_CLOTH01_20240401_STORE_002_000002|CO_CLOTH01_20240401_STORE_002_0002|STORE_002|ITM_BAS_0002|14|2024-04-01 00:00:00|2
DN_CLOTH01_20240401_STORE_002_000002|CO_CLOTH01_20240401_STORE_002_0002|STORE_002|ITM_TOP_0003|7|2024-04-01 00:00:00|3
DN_CLOTH01_20240401_STORE_002_000002|CO_CLOTH01_20240401_STORE_002_0002|STORE_002|ITM_TOP_0004|5|2024-04-01 00:00:00|4
DN_CLOTH01_20240401_STORE_002_000002|CO_CLOTH01_20240401_STORE_002_0002|STORE_002|ITM_BOT_0005|5|2024-04-01 00:00:00|5
DN_CLOTH01_20240402_STORE_001_000003|CO_CLOTH01_20240402_STORE_001_0003|STORE_001|ITM_BAS_0001|17|2024-04-02 00:00:00|1
DN_CLOTH01_20240402_STORE_001_000003|CO_CLOTH01_20240402_STORE_001_0003|STORE_001|ITM_BAS_0002|14|2024-04-02 00:00:00|2
DN_CLOTH01_20240402_STORE_001_000003|CO_CLOTH01_20240402_STORE_001_0003|STORE_001|ITM_TOP_0003|8|2024-04-02 00:00:00|3
DN_CLOTH01_20240402_STORE_001_000003|CO_CLOTH01_20240402_STORE_001_0003|STORE_001|ITM_TOP_0004|1|2024-04-02 00:00:00|4
DN_CLOTH01_20240402_STORE_001_000003|CO_CLOTH01_20240402_STORE_001_0003|STORE_001|ITM_BOT_0005|5|2024-04-02 00:00:00|5
DN_CLOTH01_20240402_STORE_002_000004|CO_CLOTH01_20240402_STORE_002_0004|STORE_002|ITM_BAS_0001|15|2024-04-02 00:00:00|1
DN_CLOTH01_20240402_STORE_002_000004|CO_CLOTH01_20240402_STORE_002_0004|STORE_002|ITM_BAS_0002|11|2024-04-02 00:00:00|2
DN_CLOTH01_20240402_STORE_002_000004|CO_CLOTH01_20240402_STORE_002_0004|STORE_002|ITM_TOP_0003|6|2024-04-02 00:00:00|3
DN_CLOTH01_20240402_STORE_002_000004|CO_CLOTH01_20240402_STORE_002_0004|STORE_002|ITM_TOP_0004|5|2024-04-02 00:00:00|4
DN_CLOTH01_20240402_STORE_002_000004|CO_CLOTH01_20240402_STORE_002_0004|STORE_002|ITM_BOT_0005|3|2024-04-02 00:00:00|5
DN_CLOTH01_20240403_STORE_001_000005|CO_CLOTH01_20240403_STORE_001_0005|STORE_001|ITM_BAS_0001|9|2024-04-03 00:00:00|1
DN_CLOTH01_20240403_STORE_001_000005|CO_CLOTH01_20240403_STORE_001_0005|STORE_001|ITM_BAS_0002|13|2024-04-03 00:00:00|2
DN_CLOTH01_20240403_STORE_001_000005|CO_CLOTH01_20240403_STORE_001_0005|STORE_001|ITM_TOP_0003|3|2024-04-03 00:00:00|3
DN_CLOTH01_20240403_STORE_001_000005|CO_CLOTH01_20240403_STORE_001_0005|STORE_001|ITM_TOP_0004|2|2024-04-03 00:00:00|4
DN_CLOTH01_20240403_STORE_001_000005|CO_CLOTH01_20240403_STORE_001_0005|STORE_001|ITM_BOT_0005|3|2024-04-03 00:00:00|5
DN_CLOTH01_20240403_STORE_002_000006|CO_CLOTH01_20240403_STORE_002_0006|STORE_002|ITM_BAS_0001|11|2024-04-03 00:00:00|1
DN_CLOTH01_20240403_STORE_002_000006|CO_CLOTH01_20240403_STORE_002_0006|STORE_002|ITM_BAS_0002|11|2024-04-03 00:00:00|2
DN_CLOTH01_20240403_STORE_002_000006|CO_CLOTH01_20240403_STORE_002_0006|STORE_002|ITM_TOP_0003|5|2024-04-03 00:00:00|3
DN_CLOTH01_20240403_STORE_002_000006|CO_CLOTH01_20240403_STORE_002_0006|STORE_002|ITM_TOP_0004|3|2024-04-03 00:00:00|4
