CustomerOrderNumber|CustomerOrderDate|IBTFlag|OrderStatusIndicator
CO_CLOTH01_20240401_STORE_001_0001|2024-04-01 00:00:00|0|Placed
CO_CLOTH01_20240401_STORE_002_0002|2024-04-01 00:00:00|0|Placed
CO_CLOTH01_20240402_STORE_001_0003|2024-04-02 00:00:00|0|Placed
CO_CLOTH01_20240402_STORE_002_0004|2024-04-02 00:00:00|0|Placed
CO_CLOTH01_20240403_STORE_001_0005|2024-04-03 00:00:00|0|Placed
CO_CLOTH01_20240403_STORE_002_0006|2024-04-03 00:00:00|0|Placed
CO_CLOTH01_20240404_STORE_001_0007|2024-04-04 00:00:00|0|Placed
CO_CLOTH01_20240404_STORE_002_0008|2024-04-04 00:00:00|0|Placed
CO_CLOTH01_20240405_STORE_001_0009|2024-04-05 00:00:00|0|Placed
CO_CLOTH01_20240405_STORE_002_0010|2024-04-05 00:00:00|0|Placed
CO_CLOTH01_20240406_STORE_001_0011|2024-04-06 00:00:00|0|Placed
CO_CLOTH01_20240406_STORE_002_0012|2024-04-06 00:00:00|0|Placed
CO_CLOTH01_20240407_STORE_001_0013|2024-04-07 00:00:00|0|Placed
CO_CLOTH01_20240407_STORE_002_0014|2024-04-07 00:00:00|0|Placed
CO_CLOTH01_20240408_STORE_001_0015|2024-04-08 00:00:00|0|Placed
CO_CLOTH01_20240408_STORE_002_0016|2024-04-08 00:00:00|0|Placed
CO_CLOTH01_20240409_STORE_001_0017|2024-04-09 00:00:00|0|Placed
CO_CLOTH01_20240409_STORE_002_0018|2024-04-09 00:00:00|0|Placed
CO_CLOTH01_20240410_STORE_001_0019|2024-04-10 00:00:00|0|Placed
CO_CLOTH01_20240410_STORE_002_0020|2024-04-10 00:00:00|0|Placed
CO_CLOTH01_20240411_STORE_001_0021|2024-04-11 00:00:00|0|Placed
CO_CLOTH01_20240411_STORE_002_0022|2024-04-11 00:00:00|0|Placed
CO_CLOTH01_20240412_STORE_001_0023|2024-04-12 00:00:00|0|Placed
CO_CLOTH01_20240412_STORE_002_0024|2024-04-12 00:00:00|0|Placed
CO_CLOTH01_20240413_STORE_001_0025|2024-04-13 00:00:00|0|Placed
CO_CLOTH01_20240413_STORE_002_0026|2024-04-13 00:00:00|0|Placed
CO_CLOTH01_20240414_STORE_001_0027|2024-04-14 00:00:00|0|Placed
CO_CLOTH01_20240414_STORE_002_0028|2024-04-14 00:00:00|0|Placed
CO_CLOTH01_20240415_STORE_001_0029|2024-04-15 00:00:00|0|Placed
CO_CLOTH01_20240415_STORE_002_0030|2024-04-15 00:00:00|0|Placed
CO_CLOTH01_20240416_STORE_001_0031|2024-04-16 00:00:00|0|Placed
CO_CLOTH01_20240416_STORE_002_0032|2024-04-16 00:00:00|0|Placed
CO_CLOTH01_20240417_STORE_001_0033|2024-04-17 00:00:00|0|Placed
CO_CLOTH01_20240417_STORE_002_0034|2024-04-17 00:00:00|0|Placed
CO_CLOTH01_20240418_STORE_001_0035|2024-04-18 00:00:00|0|Placed
CO_CLOTH01_20240418_STORE_002_0036|2024-04-18 00:00:00|0|Placed
CO_CLOTH01_20240419_STORE_001_0037|2024-04-19 00:00:00|0|Placed
CO_CLOTH01_20240419_STORE_002_0038|2024-04-19 00:00:00|0|Placed
CO_CLOTH01_20240420_STORE_001_0039|2024-04-20 00:00:00|0|Placed
CO_CLOTH01_20240420_STORE_002_0040|2024-04-20 00:00:00|0|Placed
CO_CLOTH01_20240421_STORE_001_0041|2024-04-21 00:00:00|0|Placed
CO_CLOTH01_20240421_STORE_002_0042|2024-04-21 00:00:00|0|Placed
CO_CLOTH01_20240422_STORE_001_0043|2024-04-22 00:00:00|0|Placed
CO_CLOTH01_20240422_STORE_002_0044|2024-04-22 00:00:00|0|Placed
CO_CLOTH01_20240423_STORE_001_0045|2024-04-23 00:00:00|0|Placed
CO_CLOTH01_20240423_STORE_002_0046|2024-04-23 00:00:00|0|Placed
CO_CLOTH01_20240424_STORE_001_0047|2024-04-24 00:00:00|0|Placed
CO_CLOTH01_20240424_STORE_002_0048|2024-04-24 00:00:00|0|Placed
CO_CLOTH01_20240425_STORE_001_0049|2024-04-25 00:00:00|0|Placed
CO_CLOTH01_20240425_STORE_002_0050|2024-04-25 00:00:00|0|Placed
CO_CLOTH01_20240426_STORE_001_0051|2024-04-26 00:00:00|0|Placed
CO_CLOTH01_20240426_STORE_002_0052|2024-04-26 00:00:00|0|Placed
CO_CLOTH01_20240427_STORE_001_0053|2024-04-27 00:00:00|0|Placed
CO_CLOTH01_20240427_STORE_002_0054|2024-04-27 00:00:00|0|Placed
CO_CLOTH01_20240428_STORE_001_0055|2024-04-28 00:00:00|0|Placed
CO_CLOTH01_20240428_STORE_002_0056|2024-04-28 00:00:00|0|Placed
