CustomerOrderNumber|CustomerOrderLineNumber|SiteCode|ItemCode|EstimatedDeliveryDate|OrderedQuantity|OrderLineStatusIndicator|IBTDestinationSiteCode|OutstandingQuantity
CO_CLOTH01_20240401_STORE_001_0001|1|STORE_001|ITM_BAS_0001|2024-04-01 00:00:00|3|Placed||3
CO_CLOTH01_20240401_STORE_001_0001|2|STORE_001|ITM_BAS_0002|2024-04-01 00:00:00|15|Placed||15
CO_CLOTH01_20240401_STORE_001_0001|3|STORE_001|ITM_TOP_0003|2024-04-01 00:00:00|5|Placed||5
CO_CLOTH01_20240401_STORE_001_0001|4|STORE_001|ITM_TOP_0004|2024-04-01 00:00:00|1|Placed||1
CO_CLOTH01_20240401_STORE_001_0001|5|STORE_001|ITM_BOT_0005|2024-04-01 00:00:00|1|Placed||1
CO_CLOTH01_20240401_STORE_002_0002|1|STORE_002|ITM_BAS_0001|2024-04-01 00:00:00|15|Placed||15
CO_CLOTH01_20240401_STORE_002_0002|2|STORE_002|ITM_BAS_0002|2024-04-01 00:00:00|14|Placed||14
CO_CLOTH01_20240401_STORE_002_0002|3|STORE_002|ITM_TOP_0003|2024-04-01 00:00:00|7|Placed||7
CO_CLOTH01_20240401_STORE_002_0002|4|STORE_002|ITM_TOP_0004|2024-04-01 00:00:00|5|Placed||5
CO_CLOTH01_20240401_STORE_002_0002|5|STORE_002|ITM_BOT_0005|2024-04-01 00:00:00|5|Placed||5
CO_CLOTH01_20240402_STORE_001_0003|1|STORE_001|ITM_BAS_0001|2024-04-02 00:00:00|17|Placed||17
CO_CLOTH01_20240402_STORE_001_0003|2|STORE_001|ITM_BAS_0002|2024-04-02 00:00:00|14|Placed||14
CO_CLOTH01_20240402_STORE_001_0003|3|STORE_001|ITM_TOP_0003|2024-04-02 00:00:00|8|Placed||8
CO_CLOTH01_20240402_STORE_001_0003|4|STORE_001|ITM_TOP_0004|2024-04-02 00:00:00|1|Placed||1
CO_CLOTH01_20240402_STORE_001_0003|5|STORE_001|ITM_BOT_0005|2024-04-02 00:00:00|5|Placed||5
CO_CLOTH01_20240402_STORE_002_0004|1|STORE_002|ITM_BAS_0001|2024-04-02 00:00:00|15|Placed||15
CO_CLOTH01_20240402_STORE_002_0004|2|STORE_002|ITM_BAS_0002|2024-04-02 00:00:00|11|Placed||11
CO_CLOTH01_20240402_STORE_002_0004|3|STORE_002|ITM_TOP_0003|2024-04-02 00:00:00|6|Placed||6
CO_CLOTH01_20240402_STORE_002_0004|4|STORE_002|ITM_TOP_0004|2024-04-02 00:00:00|5|Placed||5
CO_CLOTH01_20240402_STORE_002_0004|5|STORE_002|ITM_BOT_0005|2024-04-02 00:00:00|3|Placed||3
CO_CLOTH01_20240403_STORE_001_0005|1|STORE_001|ITM_BAS_0001|2024-04-03 00:00:00|9|Placed||9
CO_CLOTH01_20240403_STORE_001_0005|2|STORE_001|ITM_BAS_0002|2024-04-03 00:00:00|13|Placed||13
CO_CLOTH01_20240403_STORE_001_0005|3|STORE_001|ITM_TOP_0003|2024-04-03 00:00:00|3|Placed||3
CO_CLOTH01_20240403_STORE_001_0005|4|STORE_001|ITM_TOP_0004|2024-04-03 00:00:00|2|Placed||2
CO_CLOTH01_20240403_STORE_001_0005|5|STORE_001|ITM_BOT_0005|2024-04-03 00:00:00|3|Placed||3
CO_CLOTH01_20240403_STORE_002_0006|1|STORE_002|ITM_BAS_0001|2024-04-03 00:00:00|11|Placed||11
CO_CLOTH01_20240403_STORE_002_0006|2|STORE_002|ITM_BAS_0002|2024-04-03 00:00:00|11|Placed||11
CO_CLOTH01_20240403_STORE_002_0006|3|STORE_002|ITM_TOP_0003|2024-04-03 00:00:00|5|Placed||5
CO_CLOTH01_20240403_STORE_002_0006|4|STORE_002|ITM_TOP_0004|2024-04-03 00:00:00|3|Placed||3
CO_CLOTH01_20240403_STORE_002_0006|5|STORE_002|ITM_BOT_0005|2024-04-03 00:00:00|6|Placed||6
CO_CLOTH01_20240404_STORE_001_0007|1|STORE_001|ITM_BAS_0001|2024-04-04 00:00:00|10|Placed||10
CO_CLOTH01_20240404_STORE_001_0007|2|STORE_001|ITM_BAS_0002|2024-04-04 00:00:00|15|Placed||15
CO_CLOTH01_20240404_STORE_001_0007|3|STORE_001|ITM_TOP_0003|2024-04-04 00:00:00|6|Placed||6
CO_CLOTH01_20240404_STORE_001_0007|4|STORE_001|ITM_TOP_0004|2024-04-04 00:00:00|3|Placed||3
CO_CLOTH01_20240404_STORE_001_0007|5|STORE_001|ITM_BOT_0005|2024-04-04 00:00:00|1|Placed||1
CO_CLOTH01_20240404_STORE_002_0008|1|STORE_002|ITM_BAS_0001|2024-04-04 00:00:00|12|Placed||12
CO_CLOTH01_20240404_STORE_002_0008|2|STORE_002|ITM_BAS_0002|2024-04-04 00:00:00|9|Placed||9
CO_CLOTH01_20240404_STORE_002_0008|3|STORE_002|ITM_TOP_0003|2024-04-04 00:00:00|12|Placed||12
CO_CLOTH01_20240404_STORE_002_0008|4|STORE_002|ITM_BOT_0005|2024-04-04 00:00:00|5|Placed||5
CO_CLOTH01_20240405_STORE_001_0009|1|STORE_001|ITM_BAS_0001|2024-04-05 00:00:00|24|Placed||24
CO_CLOTH01_20240405_STORE_001_0009|2|STORE_001|ITM_BAS_0002|2024-04-05 00:00:00|13|Placed||13
CO_CLOTH01_20240405_STORE_001_0009|3|STORE_001|ITM_TOP_0003|2024-04-05 00:00:00|6|Placed||6
CO_CLOTH01_20240405_STORE_001_0009|4|STORE_001|ITM_TOP_0004|2024-04-05 00:00:00|1|Placed||1
CO_CLOTH01_20240405_STORE_001_0009|5|STORE_001|ITM_BOT_0005|2024-04-05 00:00:00|3|Placed||3
CO_CLOTH01_20240405_STORE_002_0010|1|STORE_002|ITM_BAS_0001|2024-04-05 00:00:00|17|Placed||17
CO_CLOTH01_20240405_STORE_002_0010|2|STORE_002|ITM_BAS_0002|2024-04-05 00:00:00|8|Placed||8
CO_CLOTH01_20240405_STORE_002_0010|3|STORE_002|ITM_TOP_0003|2024-04-05 00:00:00|7|Placed||7
CO_CLOTH01_20240405_STORE_002_0010|4|STORE_002|ITM_TOP_0004|2024-04-05 00:00:00|3|Placed||3
CO_CLOTH01_20240405_STORE_002_0010|5|STORE_002|ITM_BOT_0005|2024-04-05 00:00:00|2|Placed||2
CO_CLOTH01_20240406_STORE_001_0011|1|STORE_001|ITM_BAS_0001|2024-04-06 00:00:00|14|Placed||14
CO_CLOTH01_20240406_STORE_001_0011|2|STORE_001|ITM_BAS_0002|2024-04-06 00:00:00|17|Placed||17
CO_CLOTH01_20240406_STORE_001_0011|3|STORE_001|ITM_TOP_0003|2024-04-06 00:00:00|5|Placed||5
CO_CLOTH01_20240406_STORE_001_0011|4|STORE_001|ITM_TOP_0004|2024-04-06 00:00:00|6|Placed||6
CO_CLOTH01_20240406_STORE_001_0011|5|STORE_001|ITM_BOT_0005|2024-04-06 00:00:00|3|Placed||3
CO_CLOTH01_20240406_STORE_002_0012|1|STORE_002|ITM_BAS_0001|2024-04-06 00:00:00|19|Placed||19
CO_CLOTH01_20240406_STORE_002_0012|2|STORE_002|ITM_BAS_0002|2024-04-06 00:00:00|17|Placed||17
CO_CLOTH01_20240406_STORE_002_0012|3|STORE_002|ITM_TOP_0003|2024-04-06 00:00:00|9|Placed||9
CO_CLOTH01_20240407_STORE_001_0013|1|STORE_001|ITM_BAS_0001|2024-04-07 00:00:00|14|Placed||14
CO_CLOTH01_20240407_STORE_001_0013|2|STORE_001|ITM_BAS_0002|2024-04-07 00:00:00|8|Placed||8
CO_CLOTH01_20240407_STORE_001_0013|3|STORE_001|ITM_TOP_0003|2024-04-07 00:00:00|10|Placed||10
CO_CLOTH01_20240407_STORE_001_0013|4|STORE_001|ITM_TOP_0004|2024-04-07 00:00:00|1|Placed||1
CO_CLOTH01_20240407_STORE_001_0013|5|STORE_001|ITM_BOT_0005|2024-04-07 00:00:00|3|Placed||3
CO_CLOTH01_20240407_STORE_002_0014|1|STORE_002|ITM_BAS_0001|2024-04-07 00:00:00|9|Placed||9
CO_CLOTH01_20240407_STORE_002_0014|2|STORE_002|ITM_BAS_0002|2024-04-07 00:00:00|11|Placed||11
CO_CLOTH01_20240407_STORE_002_0014|3|STORE_002|ITM_TOP_0003|2024-04-07 00:00:00|7|Placed||7
CO_CLOTH01_20240407_STORE_002_0014|4|STORE_002|ITM_TOP_0004|2024-04-07 00:00:00|2|Placed||2
CO_CLOTH01_20240407_STORE_002_0014|5|STORE_002|ITM_BOT_0005|2024-04-07 00:00:00|6|Placed||6
CO_CLOTH01_20240408_STORE_001_0015|1|STORE_001|ITM_BAS_0001|2024-04-08 00:00:00|22|Placed||22
CO_CLOTH01_20240408_STORE_001_0015|2|STORE_001|ITM_BAS_0002|2024-04-08 00:00:00|19|Placed||19
CO_CLOTH01_20240408_STORE_001_0015|3|STORE_001|ITM_TOP_0003|2024-04-08 00:00:00|3|Placed||3
CO_CLOTH01_20240408_STORE_002_0016|1|STORE_002|ITM_BAS_0001|2024-04-08 00:00:00|11|Placed||11
CO_CLOTH01_20240408_STORE_002_0016|2|STORE_002|ITM_BAS_0002|2024-04-08 00:00:00|7|Placed||7
CO_CLOTH01_20240408_STORE_002_0016|3|STORE_002|ITM_TOP_0003|2024-04-08 00:00:00|7|Placed||7
CO_CLOTH01_20240408_STORE_002_0016|4|STORE_002|ITM_BOT_0005|2024-04-08 00:00:00|1|Placed||1
CO_CLOTH01_20240409_STORE_001_0017|1|STORE_001|ITM_BAS_0001|2024-04-09 00:00:00|16|Placed||16
CO_CLOTH01_20240409_STORE_001_0017|2|STORE_001|ITM_BAS_0002|2024-04-09 00:00:00|17|Placed||17
CO_CLOTH01_20240409_STORE_001_0017|3|STORE_001|ITM_TOP_0003|2024-04-09 00:00:00|7|Placed||7
CO_CLOTH01_20240409_STORE_001_0017|4|STORE_001|ITM_TOP_0004|2024-04-09 00:00:00|3|Placed||3
CO_CLOTH01_20240409_STORE_001_0017|5|STORE_001|ITM_BOT_0005|2024-04-09 00:00:00|5|Placed||5
CO_CLOTH01_20240409_STORE_002_0018|1|STORE_002|ITM_BAS_0001|2024-04-09 00:00:00|10|Placed||10
CO_CLOTH01_20240409_STORE_002_0018|2|STORE_002|ITM_BAS_0002|2024-04-09 00:00:00|19|Placed||19
CO_CLOTH01_20240409_STORE_002_0018|3|STORE_002|ITM_TOP_0003|2024-04-09 00:00:00|8|Placed||8
CO_CLOTH01_20240409_STORE_002_0018|4|STORE_002|ITM_TOP_0004|2024-04-09 00:00:00|3|Placed||3
CO_CLOTH01_20240409_STORE_002_0018|5|STORE_002|ITM_BOT_0005|2024-04-09 00:00:00|3|Placed||3
CO_CLOTH01_20240410_STORE_001_0019|1|STORE_001|ITM_BAS_0001|2024-04-10 00:00:00|12|Placed||12
CO_CLOTH01_20240410_STORE_001_0019|2|STORE_001|ITM_BAS_0002|2024-04-10 00:00:00|8|Placed||8
CO_CLOTH01_20240410_STORE_001_0019|3|STORE_001|ITM_TOP_0003|2024-04-10 00:00:00|8|Placed||8
CO_CLOTH01_20240410_STORE_001_0019|4|STORE_001|ITM_BOT_0005|2024-04-10 00:00:00|2|Placed||2
CO_CLOTH01_20240410_STORE_002_0020|1|STORE_002|ITM_BAS_0001|2024-04-10 00:00:00|16|Placed||16
CO_CLOTH01_20240410_STORE_002_0020|2|STORE_002|ITM_BAS_0002|2024-04-10 00:00:00|12|Placed||12
CO_CLOTH01_20240410_STORE_002_0020|3|STORE_002|ITM_TOP_0003|2024-04-10 00:00:00|5|Placed||5
CO_CLOTH01_20240410_STORE_002_0020|4|STORE_002|ITM_TOP_0004|2024-04-10 00:00:00|5|Placed||5
CO_CLOTH01_20240410_STORE_002_0020|5|STORE_002|ITM_BOT_0005|2024-04-10 00:00:00|1|Placed||1
