Date|SiteCode|ItemCode|StockBefore|Demand|Delivered|UnmetDemand|StockLeft|DCShipQty|RuleLabel
2024-04-01 00:00:00|STORE_001|ITM_CHIPS_8OZ|210|30|30|0|180|104|POTATO_CHIPS_STORY
2024-04-01 00:00:00|STORE_001|ITM_JEANS_BLUE_30|28|2|2|0|26|0|
2024-04-01 00:00:00|STORE_001|ITM_JEANS_BLUE_32|21|2|2|0|19|0|
2024-04-01 00:00:00|STORE_001|ITM_JEANS_BLUE_34|42|3|3|0|39|31|
2024-04-01 00:00:00|STORE_001|ITM_TEE_BASIC_M|30|3|3|0|27|18|
2024-04-01 00:00:00|STORE_002|ITM_CHIPS_8OZ|210|30|30|0|180|104|POTATO_CHIPS_STORY
2024-04-01 00:00:00|STORE_002|ITM_JEANS_BLUE_30|80|8|8|0|72|52|
2024-04-01 00:00:00|STORE_002|ITM_JEANS_BLUE_32|80|8|8|0|72|59|
2024-04-01 00:00:00|STORE_002|ITM_JEANS_BLUE_34|28|2|2|0|26|17|
2024-04-01 00:00:00|STORE_002|ITM_TEE_BASIC_M|30|3|3|0|27|18|
2024-04-02 00:00:00|STORE_001|ITM_CHIPS_8OZ|210|30|30|0|180|30|POTATO_CHIPS_STORY
2024-04-02 00:00:00|STORE_001|ITM_JEANS_BLUE_30|35|5|5|0|30|9|
2024-04-02 00:00:00|STORE_001|ITM_JEANS_BLUE_32|20|2|2|0|18|1|
2024-04-02 00:00:00|STORE_001|ITM_JEANS_BLUE_34|39|1|1|0|38|0|
2024-04-02 00:00:00|STORE_001|ITM_TEE_BASIC_M|30|3|3|0|27|3|
2024-04-02 00:00:00|STORE_002|ITM_CHIPS_8OZ|210|30|30|0|180|30|POTATO_CHIPS_STORY
2024-04-02 00:00:00|STORE_002|ITM_JEANS_BLUE_30|72|5|5|0|67|0|
2024-04-02 00:00:00|STORE_002|ITM_JEANS_BLUE_32|75|7|7|0|68|3|
2024-04-02 00:00:00|STORE_002|ITM_JEANS_BLUE_34|35|3|3|0|32|9|
2024-04-02 00:00:00|STORE_002|ITM_TEE_BASIC_M|27|1|1|0|26|0|
2024-04-03 00:00:00|STORE_001|ITM_CHIPS_8OZ|280|60|60|0|220|100|POTATO_CHIPS_STORY
2024-04-03 00:00:00|STORE_001|ITM_JEANS_BLUE_30|37|4|4|0|33|7|
2024-04-03 00:00:00|STORE_001|ITM_JEANS_BLUE_32|20|2|2|0|18|2|
2024-04-03 00:00:00|STORE_001|ITM_JEANS_BLUE_34|38|0|0|0|38|0|
2024-04-03 00:00:00|STORE_001|ITM_TEE_BASIC_M|27|2|2|0|25|0|
2024-04-03 00:00:00|STORE_002|ITM_CHIPS_8OZ|280|60|60|0|220|100|POTATO_CHIPS_STORY
2024-04-03 00:00:00|STORE_002|ITM_JEANS_BLUE_30|67|5|5|0|62|0|
2024-04-03 00:00:00|STORE_002|ITM_JEANS_BLUE_32|68|2|2|0|66|0|
2024-04-03 00:00:00|STORE_002|ITM_JEANS_BLUE_34|32|1|1|0|31|0|
2024-04-03 00:00:00|STORE_002|ITM_TEE_BASIC_M|30|5|5|0|25|4|
2024-04-04 00:00:00|STORE_001|ITM_CHIPS_8OZ|315|60|60|0|255|95|POTATO_CHIPS_STORY
2024-04-04 00:00:00|STORE_001|ITM_JEANS_BLUE_30|35|3|3|0|32|2|
2024-04-04 00:00:00|STORE_001|ITM_JEANS_BLUE_32|28|5|5|0|23|10|
2024-04-04 00:00:00|STORE_001|ITM_JEANS_BLUE_34|38|5|5|0|33|0|
2024-04-04 00:00:00|STORE_001|ITM_TEE_BASIC_M|25|2|2|0|23|0|
2024-04-04 00:00:00|STORE_002|ITM_CHIPS_8OZ|315|60|60|0|255|95|POTATO_CHIPS_STORY
2024-04-04 00:00:00|STORE_002|ITM_JEANS_BLUE_30|62|3|3|0|59|0|
2024-04-04 00:00:00|STORE_002|ITM_JEANS_BLUE_32|66|3|3|0|63|0|
2024-04-04 00:00:00|STORE_002|ITM_JEANS_BLUE_34|31|1|1|0|30|0|
2024-04-04 00:00:00|STORE_002|ITM_TEE_BASIC_M|30|3|3|0|27|5|
2024-04-05 00:00:00|STORE_001|ITM_CHIPS_8OZ|265|60|60|0|205|10|POTATO_CHIPS_STORY
2024-04-05 00:00:00|STORE_001|ITM_JEANS_BLUE_30|38|5|5|0|33|6|
2024-04-05 00:00:00|STORE_001|ITM_JEANS_BLUE_32|28|3|3|0|25|5|
2024-04-05 00:00:00|STORE_001|ITM_JEANS_BLUE_34|33|2|2|0|31|0|
2024-04-05 00:00:00|STORE_001|ITM_TEE_BASIC_M|23|1|1|0|22|0|
