SiteCode|ItemCode|FirstStockedDate|StockOnHand|StockReserved|DefaultCostPrice|DefaultSellingPrice|SupplierCode|SourceSite|FromSupplierFlag|StockingIndicator|OrderMultiple|ActiveFlag
STORE_001|ITM_BAS_0001|2024-04-01 00:00:00|77|0|8.24|20.61|SUP_002|DC_01|0|Y|1|1
STORE_001|ITM_BAS_0002|2024-04-01 00:00:00|89|0|4.86|12.16|SUP_003|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0003|2024-04-01 00:00:00|63|0|10.78|28.37|SUP_001|DC_01|0|Y|1|1
STORE_001|ITM_TOP_0004|2024-04-01 00:00:00|19|0|9.94|26.15|SUP_002|DC_01|0|Y|1|1
STORE_001|ITM_BOT_0005|2024-04-01 00:00:00|37|0|32.74|81.85|SUP_003|DC_01|0|Y|1|1
STORE_002|ITM_BAS_0001|2024-04-01 00:00:00|87|0|8.24|20.61|SUP_002|DC_01|0|Y|1|1
STORE_002|ITM_BAS_0002|2024-04-01 00:00:00|97|0|4.86|12.16|SUP_003|DC_01|0|Y|1|1
STORE_002|ITM_TOP_0003|2024-04-01 00:00:00|64|0|10.78|28.37|SUP_001|DC_01|0|Y|1|1
STORE_002|ITM_TOP_0004|2024-04-01 00:00:00|26|0|9.94|26.15|SUP_002|DC_01|0|Y|1|1
STORE_002|ITM_BOT_0005|2024-04-01 00:00:00|39|0|32.74|81.85|SUP_003|DC_01|0|Y|1|1
DC_01|ITM_BAS_0001|2024-04-01 00:00:00|403|0|8.24|20.61|SUP_002||1|Y|1|1
DC_01|ITM_BAS_0002|2024-04-01 00:00:00|400|0|4.86|12.16|SUP_003||1|Y|1|1
DC_01|ITM_TOP_0003|2024-04-01 00:00:00|76|0|10.78|28.37|SUP_001||1|Y|1|1
DC_01|ITM_TOP_0004|2024-04-01 00:00:00|76|0|9.94|26.15|SUP_002||1|Y|1|1
DC_01|ITM_BOT_0005|2024-04-01 00:00:00|108|0|32.74|81.85|SUP_003||1|Y|1|1
