SiteCode|ItemCode|SalesTypeCode|ReturnFlag|SalesDate|SalesQuantity|TotalCost|TotalRevenue|TotalOriginalRetail
STORE_001|ITM_BAS_0001|Regular|0|2024-04-01 00:00:00|3|24.72|61.83|61.83
STORE_001|ITM_BAS_0002|Regular|0|2024-04-01 00:00:00|15|72.9|182.4|182.4
STORE_001|ITM_TOP_0003|Regular|0|2024-04-01 00:00:00|5|53.9|141.85|141.85
STORE_001|ITM_TOP_0004|Regular|0|2024-04-01 00:00:00|1|9.94|26.15|26.15
STORE_001|ITM_BOT_0005|Regular|0|2024-04-01 00:00:00|1|32.74|81.85|81.85
STORE_002|ITM_BAS_0001|Regular|0|2024-04-01 00:00:00|15|123.6|309.15|309.15
STORE_002|ITM_BAS_0002|Regular|0|2024-04-01 00:00:00|14|68.04|170.24|170.24
STORE_002|ITM_TOP_0003|Regular|0|2024-04-01 00:00:00|7|75.46|198.59|198.59
STORE_002|ITM_TOP_0004|Regular|0|2024-04-01 00:00:00|5|49.7|130.75|130.75
STORE_002|ITM_BOT_0005|Regular|0|2024-04-01 00:00:00|5|163.7|409.25|409.25
STORE_001|ITM_BAS_0001|Regular|0|2024-04-02 00:00:00|17|140.08|350.37|350.37
STORE_001|ITM_BAS_0002|Regular|0|2024-04-02 00:00:00|14|68.04|170.24|170.24
STORE_001|ITM_TOP_0003|Regular|0|2024-04-02 00:00:00|8|86.24|226.96|226.96
STORE_001|ITM_TOP_0004|Regular|0|2024-04-02 00:00:00|1|9.94|26.15|26.15
STORE_001|ITM_BOT_0005|Regular|0|2024-04-02 00:00:00|5|163.7|409.25|409.25
STORE_002|ITM_BAS_0001|Regular|0|2024-04-02 00:00:00|15|123.6|309.15|309.15
STORE_002|ITM_BAS_0002|Regular|0|2024-04-02 00:00:00|11|53.46|133.76|133.76
STORE_002|ITM_TOP_0003|Regular|0|2024-04-02 00:00:00|6|64.68|170.22|170.22
STORE_002|ITM_TOP_0004|Regular|0|2024-04-02 00:00:00|5|49.7|130.75|130.75
STORE_002|ITM_BOT_0005|Regular|0|2024-04-02 00:00:00|3|98.22|245.55|245.55
STORE_001|ITM_BAS_0001|Regular|0|2024-04-03 00:00:00|9|74.16|185.49|185.49
STORE_001|ITM_BAS_0002|Regular|0|2024-04-03 00:00:00|13|63.18|158.08|158.08
STORE_001|ITM_TOP_0003|Regular|0|2024-04-03 00:00:00|3|32.34|85.11|85.11
