PurchaseOrderNumber|PurchaseOrderDate|IBTFlag|SupplierOrderStatus|ReceiveNoLaterThan
PO_CLOTH01_20240401_DC_01_IBT_000001|2024-04-01 00:00:00|1|Delivered|2024-04-01 00:00:00
PO_CLOTH01_20240401_DC_01_IBT_000002|2024-04-01 00:00:00|1|Delivered|2024-04-01 00:00:00
PO_CLOTH01_20240401_DC_01_000003|2024-04-01 00:00:00|0|Placed|2024-04-18 00:00:00
PO_CLOTH01_20240401_DC_01_000004|2024-04-01 00:00:00|0|Placed|2024-04-08 00:00:00
PO_CLOTH01_20240401_DC_01_000005|2024-04-01 00:00:00|0|Placed|2024-04-18 00:00:00
PO_CLOTH01_20240401_DC_01_000006|2024-04-01 00:00:00|0|Placed|2024-04-09 00:00:00
PO_CLOTH01_20240402_DC_01_IBT_000007|2024-04-02 00:00:00|1|Delivered|2024-04-02 00:00:00
PO_CLOTH01_20240402_DC_01_IBT_000008|2024-04-02 00:00:00|1|Delivered|2024-04-02 00:00:00
PO_CLOTH01_20240403_DC_01_IBT_000009|2024-04-03 00:00:00|1|Delivered|2024-04-03 00:00:00
PO_CLOTH01_20240403_DC_01_IBT_000010|2024-04-03 00:00:00|1|Delivered|2024-04-03 00:00:00
PO_CLOTH01_20240404_DC_01_IBT_000011|2024-04-04 00:00:00|1|Delivered|2024-04-04 00:00:00
PO_CLOTH01_20240404_DC_01_IBT_000012|2024-04-04 00:00:00|1|Delivered|2024-04-04 00:00:00
PO_CLOTH01_20240405_DC_01_IBT_000013|2024-04-05 00:00:00|1|Delivered|2024-04-05 00:00:00
PO_CLOTH01_20240405_DC_01_IBT_000014|2024-04-05 00:00:00|1|Delivered|2024-04-05 00:00:00
PO_CLOTH01_20240406_DC_01_IBT_000015|2024-04-06 00:00:00|1|Delivered|2024-04-06 00:00:00
PO_CLOTH01_20240406_DC_01_IBT_000016|2024-04-06 00:00:00|1|Delivered|2024-04-06 00:00:00
PO_CLOTH01_20240407_DC_01_IBT_000017|2024-04-07 00:00:00|1|Delivered|2024-04-07 00:00:00
PO_CLOTH01_20240407_DC_01_IBT_000018|2024-04-07 00:00:00|1|Delivered|2024-04-07 00:00:00
PO_CLOTH01_20240408_DC_01_IBT_000019|2024-04-08 00:00:00|1|Delivered|2024-04-08 00:00:00
PO_CLOTH01_20240408_DC_01_IBT_000020|2024-04-08 00:00:00|1|Delivered|2024-04-08 00:00:00
PO_CLOTH01_20240408_DC_01_000021|2024-04-08 00:00:00|0|Placed|2024-04-25 00:00:00
PO_CLOTH01_20240408_DC_01_000022|2024-04-08 00:00:00|0|Placed|2024-04-16 00:00:00
PO_CLOTH01_20240408_DC_01_000023|2024-04-08 00:00:00|0|Placed|2024-04-25 00:00:00
PO_CLOTH01_20240409_DC_01_IBT_000024|2024-04-09 00:00:00|1|Delivered|2024-04-09 00:00:00
PO_CLOTH01_20240409_DC_01_IBT_000025|2024-04-09 00:00:00|1|Delivered|2024-04-09 00:00:00
PO_CLOTH01_20240410_DC_01_IBT_000026|2024-04-10 00:00:00|1|Delivered|2024-04-10 00:00:00
PO_CLOTH01_20240410_DC_01_IBT_000027|2024-04-10 00:00:00|1|Delivered|2024-04-10 00:00:00
PO_CLOTH01_20240411_DC_01_IBT_000028|2024-04-11 00:00:00|1|Delivered|2024-04-11 00:00:00
PO_CLOTH01_20240411_DC_01_IBT_000029|2024-04-11 00:00:00|1|Delivered|2024-04-11 00:00:00
PO_CLOTH01_20240412_DC_01_IBT_000030|2024-04-12 00:00:00|1|Delivered|2024-04-12 00:00:00
PO_CLOTH01_20240412_DC_01_IBT_000031|2024-04-12 00:00:00|1|Delivered|2024-04-12 00:00:00
PO_CLOTH01_20240413_DC_01_IBT_000032|2024-04-13 00:00:00|1|Delivered|2024-04-13 00:00:00
PO_CLOTH01_20240413_DC_01_IBT_000033|2024-04-13 00:00:00|1|Delivered|2024-04-13 00:00:00
PO_CLOTH01_20240414_DC_01_IBT_000034|2024-04-14 00:00:00|1|Delivered|2024-04-14 00:00:00
PO_CLOTH01_20240414_DC_01_IBT_000035|2024-04-14 00:00:00|1|Delivered|2024-04-14 00:00:00
PO_CLOTH01_20240415_DC_01_IBT_000036|2024-04-15 00:00:00|1|Delivered|2024-04-15 00:00:00
PO_CLOTH01_20240415_DC_01_IBT_000037|2024-04-15 00:00:00|1|Delivered|2024-04-15 00:00:00
PO_CLOTH01_20240415_DC_01_000038|2024-04-15 00:00:00|0|Placed|2024-04-23 00:00:00
PO_CLOTH01_20240415_DC_01_000039|2024-04-15 00:00:00|0|Placed|2024-04-22 00:00:00
PO_CLOTH01_20240415_DC_01_000040|2024-04-15 00:00:00|0|Placed|2024-05-02 00:00:00
PO_CLOTH01_20240415_DC_01_000041|2024-04-15 00:00:00|0|Placed|2024-04-23 00:00:00
PO_CLOTH01_20240416_DC_01_IBT_000042|2024-04-16 00:00:00|1|Delivered|2024-04-16 00:00:00
PO_CLOTH01_20240416_DC_01_IBT_000043|2024-04-16 00:00:00|1|Delivered|2024-04-16 00:00:00
PO_CLOTH01_20240417_DC_01_IBT_000044|2024-04-17 00:00:00|1|Delivered|2024-04-17 00:00:00
PO_CLOTH01_20240417_DC_01_IBT_000045|2024-04-17 00:00:00|1|Delivered|2024-04-17 00:00:00
PO_CLOTH01_20240418_DC_01_IBT_000046|2024-04-18 00:00:00|1|Delivered|2024-04-18 00:00:00
PO_CLOTH01_20240418_DC_01_IBT_000047|2024-04-18 00:00:00|1|Delivered|2024-04-18 00:00:00
PO_CLOTH01_20240419_DC_01_IBT_000048|2024-04-19 00:00:00|1|Delivered|2024-04-19 00:00:00
PO_CLOTH01_20240419_DC_01_IBT_000049|2024-04-19 00:00:00|1|Delivered|2024-04-19 00:00:00
PO_CLOTH01_20240420_DC_01_IBT_000050|2024-04-20 00:00:00|1|Delivered|2024-04-20 00:00:00
PO_CLOTH01_20240420_DC_01_IBT_000051|2024-04-20 00:00:00|1|Delivered|2024-04-20 00:00:00
PO_CLOTH01_20240421_DC_01_IBT_000052|2024-04-21 00:00:00|1|Delivered|2024-04-21 00:00:00
PO_CLOTH01_20240421_DC_01_IBT_000053|2024-04-21 00:00:00|1|Delivered|2024-04-21 00:00:00
PO_CLOTH01_20240422_DC_01_IBT_000054|2024-04-22 00:00:00|1|Delivered|2024-04-22 00:00:00
PO_CLOTH01_20240422_DC_01_IBT_000055|2024-04-22 00:00:00|1|Delivered|2024-04-22 00:00:00
PO_CLOTH01_20240422_DC_01_000056|2024-04-22 00:00:00|0|Placed|2024-04-30 00:00:00
PO_CLOTH01_20240422_DC_01_000057|2024-04-22 00:00:00|0|Placed|2024-04-29 00:00:00
PO_CLOTH01_20240422_DC_01_000058|2024-04-22 00:00:00|0|Placed|2024-05-09 00:00:00
PO_CLOTH01_20240422_DC_01_000059|2024-04-22 00:00:00|0|Placed|2024-04-30 00:00:00
PO_CLOTH01_20240423_DC_01_IBT_000060|2024-04-23 00:00:00|1|Delivered|2024-04-23 00:00:00
PO_CLOTH01_20240423_DC_01_IBT_000061|2024-04-23 00:00:00|1|Delivered|2024-04-23 00:00:00
PO_CLOTH01_20240424_DC_01_IBT_000062|2024-04-24 00:00:00|1|Delivered|2024-04-24 00:00:00
PO_CLOTH01_20240424_DC_01_IBT_000063|2024-04-24 00:00:00|1|Delivered|2024-04-24 00:00:00
PO_CLOTH01_20240425_DC_01_IBT_000064|2024-04-25 00:00:00|1|Delivered|2024-04-25 00:00:00
PO_CLOTH01_20240425_DC_01_IBT_000065|2024-04-25 00:00:00|1|Delivered|2024-04-25 00:00:00
PO_CLOTH01_20240426_DC_01_IBT_000066|2024-04-26 00:00:00|1|Delivered|2024-04-26 00:00:00
PO_CLOTH01_20240426_DC_01_IBT_000067|2024-04-26 00:00:00|1|Delivered|2024-04-26 00:00:00
PO_CLOTH01_20240427_DC_01_IBT_000068|2024-04-27 00:00:00|1|Delivered|2024-04-27 00:00:00
PO_CLOTH01_20240427_DC_01_IBT_000069|2024-04-27 00:00:00|1|Delivered|2024-04-27 00:00:00
PO_CLOTH01_20240428_DC_01_IBT_000070|2024-04-28 00:00:00|1|Delivered|2024-04-28 00:00:00
PO_CLOTH01_20240428_DC_01_IBT_000071|2024-04-28 00:00:00|1|Delivered|2024-04-28 00:00:00
