PurchaseOrderNumber|PurchaseOrderLineNumber|SiteCode|ItemCode|EstimatedReceiptDate|OrderedQuantity|OrderLineStatusIndicator|SupplierCode|CurrencyCode|IBTSiteCode|OutstandingQuantity|CostPerUnit
PO_CLOTH01_20240401_DC_01_IBT_000001|1|STORE_001|ITM_CHIPS_8OZ|2024-04-01 00:00:00|104|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240401_DC_01_IBT_000001|2|STORE_001|ITM_JEANS_BLUE_34|2024-04-01 00:00:00|31|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240401_DC_01_IBT_000001|3|STORE_001|ITM_TEE_BASIC_M|2024-04-01 00:00:00|18|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240401_DC_01_IBT_000002|1|STORE_002|ITM_CHIPS_8OZ|2024-04-01 00:00:00|104|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240401_DC_01_IBT_000002|2|STORE_002|ITM_JEANS_BLUE_30|2024-04-01 00:00:00|52|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240401_DC_01_IBT_000002|3|STORE_002|ITM_JEANS_BLUE_32|2024-04-01 00:00:00|59|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240401_DC_01_IBT_000002|4|STORE_002|ITM_JEANS_BLUE_34|2024-04-01 00:00:00|17|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240401_DC_01_IBT_000002|5|STORE_002|ITM_TEE_BASIC_M|2024-04-01 00:00:00|18|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240401_DC_01_000003|1|DC_01|ITM_CHIPS_8OZ|2024-04-18 00:00:00|619|Placed|SUP_001|USD||619|8.24
PO_CLOTH01_20240401_DC_01_000004|1|DC_01|ITM_JEANS_BLUE_32|2024-04-08 00:00:00|87|Placed|SUP_003|USD||87|15.91
PO_CLOTH01_20240401_DC_01_000005|1|DC_01|ITM_JEANS_BLUE_34|2024-04-18 00:00:00|55|Placed|SUP_001|USD||55|14.87
PO_CLOTH01_20240401_DC_01_000006|1|DC_01|ITM_TEE_BASIC_M|2024-04-09 00:00:00|55|Placed|SUP_002|USD||55|24.49
PO_CLOTH01_20240402_DC_01_IBT_000007|1|STORE_001|ITM_CHIPS_8OZ|2024-04-02 00:00:00|30|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240402_DC_01_IBT_000007|2|STORE_001|ITM_JEANS_BLUE_30|2024-04-02 00:00:00|9|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240402_DC_01_IBT_000007|3|STORE_001|ITM_JEANS_BLUE_32|2024-04-02 00:00:00|1|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240402_DC_01_IBT_000007|4|STORE_001|ITM_TEE_BASIC_M|2024-04-02 00:00:00|3|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240402_DC_01_IBT_000008|1|STORE_002|ITM_CHIPS_8OZ|2024-04-02 00:00:00|30|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240402_DC_01_IBT_000008|2|STORE_002|ITM_JEANS_BLUE_32|2024-04-02 00:00:00|3|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240402_DC_01_IBT_000008|3|STORE_002|ITM_JEANS_BLUE_34|2024-04-02 00:00:00|9|Delivered||USD|DC_01|0|14.87
PO_CLOTH01_20240403_DC_01_IBT_000009|1|STORE_001|ITM_CHIPS_8OZ|2024-04-03 00:00:00|100|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240403_DC_01_IBT_000009|2|STORE_001|ITM_JEANS_BLUE_30|2024-04-03 00:00:00|7|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240403_DC_01_IBT_000009|3|STORE_001|ITM_JEANS_BLUE_32|2024-04-03 00:00:00|2|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240403_DC_01_IBT_000010|1|STORE_002|ITM_CHIPS_8OZ|2024-04-03 00:00:00|100|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240403_DC_01_IBT_000010|2|STORE_002|ITM_TEE_BASIC_M|2024-04-03 00:00:00|4|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240404_DC_01_IBT_000011|1|STORE_001|ITM_CHIPS_8OZ|2024-04-04 00:00:00|95|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240404_DC_01_IBT_000011|2|STORE_001|ITM_JEANS_BLUE_30|2024-04-04 00:00:00|2|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240404_DC_01_IBT_000011|3|STORE_001|ITM_JEANS_BLUE_32|2024-04-04 00:00:00|10|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240404_DC_01_IBT_000012|1|STORE_002|ITM_CHIPS_8OZ|2024-04-04 00:00:00|95|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240404_DC_01_IBT_000012|2|STORE_002|ITM_TEE_BASIC_M|2024-04-04 00:00:00|5|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240405_DC_01_IBT_000013|1|STORE_001|ITM_CHIPS_8OZ|2024-04-05 00:00:00|10|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240405_DC_01_IBT_000013|2|STORE_001|ITM_JEANS_BLUE_30|2024-04-05 00:00:00|6|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240405_DC_01_IBT_000013|3|STORE_001|ITM_JEANS_BLUE_32|2024-04-05 00:00:00|5|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240405_DC_01_IBT_000014|1|STORE_002|ITM_CHIPS_8OZ|2024-04-05 00:00:00|10|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240406_DC_01_IBT_000015|1|STORE_001|ITM_CHIPS_8OZ|2024-04-06 00:00:00|10|Delivered||USD|DC_01|0|8.24
PO_CLOTH01_20240406_DC_01_IBT_000015|2|STORE_001|ITM_JEANS_BLUE_30|2024-04-06 00:00:00|9|Delivered||USD|DC_01|0|18.86
PO_CLOTH01_20240406_DC_01_IBT_000015|3|STORE_001|ITM_JEANS_BLUE_32|2024-04-06 00:00:00|5|Delivered||USD|DC_01|0|15.91
PO_CLOTH01_20240406_DC_01_IBT_000015|4|STORE_001|ITM_TEE_BASIC_M|2024-04-06 00:00:00|1|Delivered||USD|DC_01|0|24.49
PO_CLOTH01_20240406_DC_01_IBT_000016|1|STORE_002|ITM_CHIPS_8OZ|2024-04-06 00:00:00|10|Delivered||USD|DC_01|0|8.24
