GRVNumber|PurchaseOrderNumber|SiteCode|ItemCode|ReceivedQuantity|ActualReceiptDate|IBTSourceSite|SupplierCode|PurchaseOrderLineNumber|TotalCost|ReceiptCurrencyCode
GRV_CLOTH01_000001|PO_CLOTH01_20240401_DC_01_000004|DC_01|ITM_JEANS_BLUE_32|73|2024-04-08 00:00:00||SUP_003|1|1161.43|USD
GRV_CLOTH01_000002|PO_CLOTH01_20240401_DC_01_000006|DC_01|ITM_TEE_BASIC_M|55|2024-04-09 00:00:00||SUP_002|1|1346.95|USD
GRV_CLOTH01_000003|PO_CLOTH01_20240401_DC_01_000004|DC_01|ITM_JEANS_BLUE_32|14|2024-04-13 00:00:00||SUP_003|1|222.74|USD
GRV_CLOTH01_000004|PO_CLOTH01_20240401_DC_01_000003|DC_01|ITM_CHIPS_8OZ|619|2024-04-18 00:00:00||SUP_001|1|5100.56|USD
GRV_CLOTH01_000005|PO_CLOTH01_20240401_DC_01_000005|DC_01|ITM_JEANS_BLUE_34|55|2024-04-18 00:00:00||SUP_001|1|817.85|USD
GRV_CLOTH01_000006|PO_CLOTH01_20240408_DC_01_000022|DC_01|ITM_JEANS_BLUE_30|38|2024-04-19 00:00:00||SUP_002|1|716.68|USD
GRV_CLOTH01_000007|PO_CLOTH01_20240415_DC_01_000039|DC_01|ITM_JEANS_BLUE_32|34|2024-04-22 00:00:00||SUP_003|1|540.94|USD
GRV_CLOTH01_000008|PO_CLOTH01_20240415_DC_01_000038|DC_01|ITM_JEANS_BLUE_30|108|2024-04-23 00:00:00||SUP_002|1|2036.88|USD
GRV_CLOTH01_000009|PO_CLOTH01_20240415_DC_01_000041|DC_01|ITM_TEE_BASIC_M|24|2024-04-23 00:00:00||SUP_002|1|587.76|USD
GRV_CLOTH01_000010|PO_CLOTH01_20240408_DC_01_000021|DC_01|ITM_CHIPS_8OZ|1726|2024-04-25 00:00:00||SUP_001|1|14222.24|USD
GRV_CLOTH01_000011|PO_CLOTH01_20240408_DC_01_000023|DC_01|ITM_JEANS_BLUE_34|2|2024-04-25 00:00:00||SUP_001|1|29.74|USD
