DeliveryNoteNumber|CustomerOrderNumber|SiteCode|ItemCode|DeliveredQuantity|ActualDeliveryDate|CustomerOrderLineNumber
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BAS_0001|3|2024-10-01 00:00:00|1
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BAS_0002|9|2024-10-01 00:00:00|2
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BAS_0003|4|2024-10-01 00:00:00|3
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BAS_0004|14|2024-10-01 00:00:00|4
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BAS_0005|12|2024-10-01 00:00:00|5
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BAS_0006|7|2024-10-01 00:00:00|6
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BAS_0007|5|2024-10-01 00:00:00|7
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BAS_0008|11|2024-10-01 00:00:00|8
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BAS_0009|7|2024-10-01 00:00:00|9
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BAS_0010|12|2024-10-01 00:00:00|10
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_TOP_0011|6|2024-10-01 00:00:00|11
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_TOP_0012|5|2024-10-01 00:00:00|12
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_TOP_0013|6|2024-10-01 00:00:00|13
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_TOP_0014|4|2024-10-01 00:00:00|14
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_TOP_0015|7|2024-10-01 00:00:00|15
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_TOP_0016|7|2024-10-01 00:00:00|16
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_TOP_0017|3|2024-10-01 00:00:00|17
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_TOP_0018|5|2024-10-01 00:00:00|18
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_TOP_0019|1|2024-10-01 00:00:00|19
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_TOP_0020|8|2024-10-01 00:00:00|20
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_TOP_0021|8|2024-10-01 00:00:00|21
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_TOP_0022|5|2024-10-01 00:00:00|22
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BOT_0023|13|2024-10-01 00:00:00|23
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BOT_0024|7|2024-10-01 00:00:00|24
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BOT_0025|4|2024-10-01 00:00:00|25
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BOT_0026|5|2024-10-01 00:00:00|26
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BOT_0027|3|2024-10-01 00:00:00|27
DN_CLOTH01_20241001_STORE_001_000001|CO_CLOTH01_20241001_STORE_001_0001|STORE_001|ITM_BOT_0028|10|2024-10-01 00:00:00|28
