CustomerOrderNumber|CustomerOrderDate|IBTFlag|OrderStatusIndicator
CO_CLOTH01_20241001_STORE_001_0001|2024-10-01 00:00:00|0|Placed
CO_CLOTH01_20241001_STORE_002_0002|2024-10-01 00:00:00|0|Placed
CO_CLOTH01_20241001_STORE_003_0003|2024-10-01 00:00:00|0|Placed
CO_CLOTH01_20241001_STORE_004_0004|2024-10-01 00:00:00|0|Placed
CO_CLOTH01_20241001_STORE_005_0005|2024-10-01 00:00:00|0|Placed
CO_CLOTH01_20241002_STORE_001_0006|2024-10-02 00:00:00|0|Placed
CO_CLOTH01_20241002_STORE_002_0007|2024-10-02 00:00:00|0|Placed
CO_CLOTH01_20241002_STORE_003_0008|2024-10-02 00:00:00|0|Placed
CO_CLOTH01_20241002_STORE_004_0009|2024-10-02 00:00:00|0|Placed
CO_CLOTH01_20241002_STORE_005_0010|2024-10-02 00:00:00|0|Placed
CO_CLOTH01_20241003_STORE_001_0011|2024-10-03 00:00:00|0|Placed
CO_CLOTH01_20241003_STORE_002_0012|2024-10-03 00:00:00|0|Placed
CO_CLOTH01_20241003_STORE_003_0013|2024-10-03 00:00:00|0|Placed
CO_CLOTH01_20241003_STORE_004_0014|2024-10-03 00:00:00|0|Placed
CO_CLOTH01_20241003_STORE_005_0015|2024-10-03 00:00:00|0|Placed
CO_CLOTH01_20241004_STORE_001_0016|2024-10-04 00:00:00|0|Placed
CO_CLOTH01_20241004_STORE_002_0017|2024-10-04 00:00:00|0|Placed
CO_CLOTH01_20241004_STORE_003_0018|2024-10-04 00:00:00|0|Placed
CO_CLOTH01_20241004_STORE_004_0019|2024-10-04 00:00:00|0|Placed
CO_CLOTH01_20241004_STORE_005_0020|2024-10-04 00:00:00|0|Placed
CO_CLOTH01_20241005_STORE_001_0021|2024-10-05 00:00:00|0|Placed
CO_CLOTH01_20241005_STORE_002_0022|2024-10-05 00:00:00|0|Placed
CO_CLOTH01_20241005_STORE_003_0023|2024-10-05 00:00:00|0|Placed
CO_CLOTH01_20241005_STORE_004_0024|2024-10-05 00:00:00|0|Placed
CO_CLOTH01_20241005_STORE_005_0025|2024-10-05 00:00:00|0|Placed
CO_CLOTH01_20241006_STORE_001_0026|2024-10-06 00:00:00|0|Placed
CO_CLOTH01_20241006_STORE_002_0027|2024-10-06 00:00:00|0|Placed
CO_CLOTH01_20241006_STORE_003_0028|2024-10-06 00:00:00|0|Placed
CO_CLOTH01_20241006_STORE_004_0029|2024-10-06 00:00:00|0|Placed
CO_CLOTH01_20241006_STORE_005_0030|2024-10-06 00:00:00|0|Placed
CO_CLOTH01_20241007_STORE_001_0031|2024-10-07 00:00:00|0|Placed
CO_CLOTH01_20241007_STORE_002_0032|2024-10-07 00:00:00|0|Placed
CO_CLOTH01_20241007_STORE_003_0033|2024-10-07 00:00:00|0|Placed
CO_CLOTH01_20241007_STORE_004_0034|2024-10-07 00:00:00|0|Placed
CO_CLOTH01_20241007_STORE_005_0035|2024-10-07 00:00:00|0|Placed
CO_CLOTH01_20241008_STORE_001_0036|2024-10-08 00:00:00|0|Placed
CO_CLOTH01_20241008_STORE_002_0037|2024-10-08 00:00:00|0|Placed
CO_CLOTH01_20241008_STORE_003_0038|2024-10-08 00:00:00|0|Placed
CO_CLOTH01_20241008_STORE_004_0039|2024-10-08 00:00:00|0|Placed
CO_CLOTH01_20241008_STORE_005_0040|2024-10-08 00:00:00|0|Placed
CO_CLOTH01_20241009_STORE_001_0041|2024-10-09 00:00:00|0|Placed
CO_CLOTH01_20241009_STORE_002_0042|2024-10-09 00:00:00|0|Placed
CO_CLOTH01_20241009_STORE_003_0043|2024-10-09 00:00:00|0|Placed
CO_CLOTH01_20241009_STORE_004_0044|2024-10-09 00:00:00|0|Placed
CO_CLOTH01_20241009_STORE_005_0045|2024-10-09 00:00:00|0|Placed
CO_CLOTH01_20241010_STORE_001_0046|2024-10-10 00:00:00|0|Placed
CO_CLOTH01_20241010_STORE_002_0047|2024-10-10 00:00:00|0|Placed
CO_CLOTH01_20241010_STORE_003_0048|2024-10-10 00:00:00|0|Placed
CO_CLOTH01_20241010_STORE_004_0049|2024-10-10 00:00:00|0|Placed
CO_CLOTH01_20241010_STORE_005_0050|2024-10-10 00:00:00|0|Placed
CO_CLOTH01_20241011_STORE_001_0051|2024-10-11 00:00:00|0|Placed
CO_CLOTH01_20241011_STORE_002_0052|2024-10-11 00:00:00|0|Placed
CO_CLOTH01_20241011_STORE_003_0053|2024-10-11 00:00:00|0|Placed
CO_CLOTH01_20241011_STORE_004_0054|2024-10-11 00:00:00|0|Placed
CO_CLOTH01_20241011_STORE_005_0055|2024-10-11 00:00:00|0|Placed
CO_CLOTH01_20241012_STORE_001_0056|2024-10-12 00:00:00|0|Placed
CO_CLOTH01_20241012_STORE_002_0057|2024-10-12 00:00:00|0|Placed
CO_CLOTH01_20241012_STORE_003_0058|2024-10-12 00:00:00|0|Placed
CO_CLOTH01_20241012_STORE_004_0059|2024-10-12 00:00:00|0|Placed
CO_CLOTH01_20241012_STORE_005_0060|2024-10-12 00:00:00|0|Placed
CO_CLOTH01_20241013_STORE_001_0061|2024-10-13 00:00:00|0|Placed
CO_CLOTH01_20241013_STORE_002_0062|2024-10-13 00:00:00|0|Placed
CO_CLOTH01_20241013_STORE_003_0063|2024-10-13 00:00:00|0|Placed
CO_CLOTH01_20241013_STORE_004_0064|2024-10-13 00:00:00|0|Placed
CO_CLOTH01_20241013_STORE_005_0065|2024-10-13 00:00:00|0|Placed
CO_CLOTH01_20241014_STORE_001_0066|2024-10-14 00:00:00|0|Placed
CO_CLOTH01_20241014_STORE_002_0067|2024-10-14 00:00:00|0|Placed
CO_CLOTH01_20241014_STORE_003_0068|2024-10-14 00:00:00|0|Placed
CO_CLOTH01_20241014_STORE_004_0069|2024-10-14 00:00:00|0|Placed
CO_CLOTH01_20241014_STORE_005_0070|2024-10-14 00:00:00|0|Placed
CO_CLOTH01_20241015_STORE_001_0071|2024-10-15 00:00:00|0|Placed
CO_CLOTH01_20241015_STORE_002_0072|2024-10-15 00:00:00|0|Placed
CO_CLOTH01_20241015_STORE_003_0073|2024-10-15 00:00:00|0|Placed
