ItemCode|ItemMasterGroup1Code|ItemMasterGroup2Code|ItemMasterGroup3Code
ITM_BAS_0001|MENS|BASICS|fast
ITM_BAS_0002|WOMENS|BASICS|fast
ITM_BAS_0003|KIDS|BASICS|fast
ITM_BAS_0004|MENS|BASICS|fast
ITM_BAS_0005|WOMENS|BASICS|fast
ITM_BAS_0006|KIDS|BASICS|fast
ITM_BAS_0007|MENS|BASICS|fast
ITM_BAS_0008|WOMENS|BASICS|fast
ITM_BAS_0009|KIDS|BASICS|fast
ITM_BAS_0010|MENS|BASICS|fast
ITM_TOP_0011|WOMENS|TOPS|medium
ITM_TOP_0012|KIDS|TOPS|medium
ITM_TOP_0013|MENS|TOPS|medium
ITM_TOP_0014|WOMENS|TOPS|medium
ITM_TOP_0015|KIDS|TOPS|medium
ITM_TOP_0016|MENS|TOPS|medium
ITM_TOP_0017|WOMENS|TOPS|medium
ITM_TOP_0018|KIDS|TOPS|medium
ITM_TOP_0019|MENS|TOPS|medium
ITM_TOP_0020|WOMENS|TOPS|medium
ITM_TOP_0021|KIDS|TOPS|medium
ITM_TOP_0022|MENS|TOPS|medium
ITM_BOT_0023|WOMENS|BOTTOMS|medium
ITM_BOT_0024|KIDS|BOTTOMS|medium
ITM_BOT_0025|MENS|BOTTOMS|medium
ITM_BOT_0026|WOMENS|BOTTOMS|medium
ITM_BOT_0027|KIDS|BOTTOMS|medium
ITM_BOT_0028|MENS|BOTTOMS|medium
ITM_BOT_0029|WOMENS|BOTTOMS|medium
ITM_BOT_0030|KIDS|BOTTOMS|medium
ITM_BOT_0031|MENS|BOTTOMS|medium
ITM_BOT_0032|WOMENS|BOTTOMS|medium
ITM_FOO_0033|KIDS|FOOTWEAR|slow
ITM_FOO_0034|MENS|FOOTWEAR|slow
ITM_FOO_0035|WOMENS|FOOTWEAR|slow
ITM_FOO_0036|KIDS|FOOTWEAR|slow
ITM_FOO_0037|MENS|FOOTWEAR|slow
ITM_FOO_0038|WOMENS|FOOTWEAR|slow
ITM_FOO_0039|KIDS|FOOTWEAR|slow
ITM_FOO_0040|MENS|FOOTWEAR|slow
ITM_OUT_0041|WOMENS|OUTERWEAR|slow
ITM_OUT_0042|KIDS|OUTERWEAR|slow
ITM_OUT_0043|MENS|OUTERWEAR|slow
ITM_OUT_0044|WOMENS|OUTERWEAR|slow
ITM_OUT_0045|KIDS|OUTERWEAR|slow
ITM_ACC_0046|MENS|ACCESSORIES|lumpy
ITM_ACC_0047|WOMENS|ACCESSORIES|lumpy
ITM_ACC_0048|KIDS|ACCESSORIES|lumpy
ITM_FOR_0049|MENS|FORMALWEAR|lumpy
ITM_FOR_0050|WOMENS|FORMALWEAR|lumpy
