PurchaseOrderNumber|PurchaseOrderDate|IBTFlag|SupplierOrderStatus|ReceiveNoLaterThan
PO_CLOTH01_20241001_DC_01_IBT_000001|2024-10-01 00:00:00|1|Delivered|2024-10-01 00:00:00
PO_CLOTH01_20241001_DC_01_IBT_000002|2024-10-01 00:00:00|1|Delivered|2024-10-01 00:00:00
PO_CLOTH01_20241001_DC_01_IBT_000003|2024-10-01 00:00:00|1|Delivered|2024-10-01 00:00:00
PO_CLOTH01_20241001_DC_01_IBT_000004|2024-10-01 00:00:00|1|Delivered|2024-10-01 00:00:00
PO_CLOTH01_20241001_DC_01_IBT_000005|2024-10-01 00:00:00|1|Delivered|2024-10-01 00:00:00
PO_CLOTH01_20241002_DC_01_IBT_000006|2024-10-02 00:00:00|1|Delivered|2024-10-02 00:00:00
PO_CLOTH01_20241002_DC_01_IBT_000007|2024-10-02 00:00:00|1|Delivered|2024-10-02 00:00:00
PO_CLOTH01_20241002_DC_01_IBT_000008|2024-10-02 00:00:00|1|Delivered|2024-10-02 00:00:00
PO_CLOTH01_20241002_DC_01_IBT_000009|2024-10-02 00:00:00|1|Delivered|2024-10-02 00:00:00
PO_CLOTH01_20241002_DC_01_IBT_000010|2024-10-02 00:00:00|1|Delivered|2024-10-02 00:00:00
PO_CLOTH01_20241003_DC_01_IBT_000011|2024-10-03 00:00:00|1|Delivered|2024-10-03 00:00:00
PO_CLOTH01_20241003_DC_01_IBT_000012|2024-10-03 00:00:00|1|Delivered|2024-10-03 00:00:00
PO_CLOTH01_20241003_DC_01_IBT_000013|2024-10-03 00:00:00|1|Delivered|2024-10-03 00:00:00
PO_CLOTH01_20241003_DC_01_IBT_000014|2024-10-03 00:00:00|1|Delivered|2024-10-03 00:00:00
PO_CLOTH01_20241003_DC_01_IBT_000015|2024-10-03 00:00:00|1|Delivered|2024-10-03 00:00:00
PO_CLOTH01_20241004_DC_01_IBT_000016|2024-10-04 00:00:00|1|Delivered|2024-10-04 00:00:00
PO_CLOTH01_20241004_DC_01_IBT_000017|2024-10-04 00:00:00|1|Delivered|2024-10-04 00:00:00
PO_CLOTH01_20241004_DC_01_IBT_000018|2024-10-04 00:00:00|1|Delivered|2024-10-04 00:00:00
PO_CLOTH01_20241004_DC_01_IBT_000019|2024-10-04 00:00:00|1|Delivered|2024-10-04 00:00:00
PO_CLOTH01_20241004_DC_01_IBT_000020|2024-10-04 00:00:00|1|Delivered|2024-10-04 00:00:00
PO_CLOTH01_20241005_DC_01_IBT_000021|2024-10-05 00:00:00|1|Delivered|2024-10-05 00:00:00
PO_CLOTH01_20241005_DC_01_IBT_000022|2024-10-05 00:00:00|1|Delivered|2024-10-05 00:00:00
PO_CLOTH01_20241005_DC_01_IBT_000023|2024-10-05 00:00:00|1|Delivered|2024-10-05 00:00:00
PO_CLOTH01_20241005_DC_01_IBT_000024|2024-10-05 00:00:00|1|Delivered|2024-10-05 00:00:00
PO_CLOTH01_20241005_DC_01_IBT_000025|2024-10-05 00:00:00|1|Delivered|2024-10-05 00:00:00
PO_CLOTH01_20241006_DC_01_IBT_000026|2024-10-06 00:00:00|1|Delivered|2024-10-06 00:00:00
PO_CLOTH01_20241006_DC_01_IBT_000027|2024-10-06 00:00:00|1|Delivered|2024-10-06 00:00:00
PO_CLOTH01_20241006_DC_01_IBT_000028|2024-10-06 00:00:00|1|Delivered|2024-10-06 00:00:00
PO_CLOTH01_20241006_DC_01_IBT_000029|2024-10-06 00:00:00|1|Delivered|2024-10-06 00:00:00
PO_CLOTH01_20241006_DC_01_IBT_000030|2024-10-06 00:00:00|1|Delivered|2024-10-06 00:00:00
PO_CLOTH01_20241007_DC_01_IBT_000031|2024-10-07 00:00:00|1|Delivered|2024-10-07 00:00:00
PO_CLOTH01_20241007_DC_01_IBT_000032|2024-10-07 00:00:00|1|Delivered|2024-10-07 00:00:00
PO_CLOTH01_20241007_DC_01_IBT_000033|2024-10-07 00:00:00|1|Delivered|2024-10-07 00:00:00
PO_CLOTH01_20241007_DC_01_IBT_000034|2024-10-07 00:00:00|1|Delivered|2024-10-07 00:00:00
PO_CLOTH01_20241007_DC_01_IBT_000035|2024-10-07 00:00:00|1|Delivered|2024-10-07 00:00:00
PO_CLOTH01_20241007_DC_01_000036|2024-10-07 00:00:00|0|Placed|2024-10-15 00:00:00
PO_CLOTH01_20241007_DC_01_000037|2024-10-07 00:00:00|0|Placed|2024-10-14 00:00:00
PO_CLOTH01_20241007_DC_01_000038|2024-10-07 00:00:00|0|Placed|2024-10-25 00:00:00
PO_CLOTH01_20241007_DC_01_000039|2024-10-07 00:00:00|0|Placed|2024-10-18 00:00:00
PO_CLOTH01_20241007_DC_01_000040|2024-10-07 00:00:00|0|Placed|2024-10-17 00:00:00
PO_CLOTH01_20241007_DC_01_000041|2024-10-07 00:00:00|0|Placed|2024-10-17 00:00:00
PO_CLOTH01_20241007_DC_01_000042|2024-10-07 00:00:00|0|Placed|2024-10-16 00:00:00
PO_CLOTH01_20241007_DC_01_000043|2024-10-07 00:00:00|0|Placed|2024-10-25 00:00:00
PO_CLOTH01_20241007_DC_01_000044|2024-10-07 00:00:00|0|Placed|2024-10-15 00:00:00
PO_CLOTH01_20241007_DC_01_000045|2024-10-07 00:00:00|0|Placed|2024-10-24 00:00:00
PO_CLOTH01_20241007_DC_01_000046|2024-10-07 00:00:00|0|Placed|2024-10-15 00:00:00
PO_CLOTH01_20241007_DC_01_000047|2024-10-07 00:00:00|0|Placed|2024-10-14 00:00:00
PO_CLOTH01_20241007_DC_01_000048|2024-10-07 00:00:00|0|Placed|2024-10-25 00:00:00
PO_CLOTH01_20241007_DC_01_000049|2024-10-07 00:00:00|0|Placed|2024-10-18 00:00:00
PO_CLOTH01_20241007_DC_01_000050|2024-10-07 00:00:00|0|Placed|2024-10-17 00:00:00
PO_CLOTH01_20241007_DC_01_000051|2024-10-07 00:00:00|0|Placed|2024-10-17 00:00:00
PO_CLOTH01_20241007_DC_01_000052|2024-10-07 00:00:00|0|Placed|2024-10-16 00:00:00
PO_CLOTH01_20241007_DC_01_000053|2024-10-07 00:00:00|0|Placed|2024-10-25 00:00:00
PO_CLOTH01_20241007_DC_01_000054|2024-10-07 00:00:00|0|Placed|2024-10-15 00:00:00
PO_CLOTH01_20241007_DC_01_000055|2024-10-07 00:00:00|0|Placed|2024-10-24 00:00:00
PO_CLOTH01_20241007_DC_01_000056|2024-10-07 00:00:00|0|Placed|2024-10-15 00:00:00
PO_CLOTH01_20241007_DC_01_000057|2024-10-07 00:00:00|0|Placed|2024-10-14 00:00:00
PO_CLOTH01_20241007_DC_01_000058|2024-10-07 00:00:00|0|Placed|2024-10-25 00:00:00
PO_CLOTH01_20241007_DC_01_000059|2024-10-07 00:00:00|0|Placed|2024-10-18 00:00:00
PO_CLOTH01_20241007_DC_01_000060|2024-10-07 00:00:00|0|Placed|2024-10-17 00:00:00
PO_CLOTH01_20241007_DC_01_000061|2024-10-07 00:00:00|0|Placed|2024-10-17 00:00:00
PO_CLOTH01_20241007_DC_01_000062|2024-10-07 00:00:00|0|Placed|2024-10-25 00:00:00
PO_CLOTH01_20241007_DC_01_000063|2024-10-07 00:00:00|0|Placed|2024-10-15 00:00:00
PO_CLOTH01_20241007_DC_01_000064|2024-10-07 00:00:00|0|Placed|2024-10-24 00:00:00
PO_CLOTH01_20241007_DC_01_000065|2024-10-07 00:00:00|0|Placed|2024-10-15 00:00:00
PO_CLOTH01_20241007_DC_01_000066|2024-10-07 00:00:00|0|Placed|2024-10-14 00:00:00
PO_CLOTH01_20241007_DC_01_000067|2024-10-07 00:00:00|0|Placed|2024-10-17 00:00:00
PO_CLOTH01_20241007_DC_01_000068|2024-10-07 00:00:00|0|Placed|2024-10-15 00:00:00
PO_CLOTH01_20241007_DC_01_000069|2024-10-07 00:00:00|0|Placed|2024-10-17 00:00:00
PO_CLOTH01_20241007_DC_01_000070|2024-10-07 00:00:00|0|Placed|2024-10-16 00:00:00
PO_CLOTH01_20241007_DC_01_000071|2024-10-07 00:00:00|0|Placed|2024-10-25 00:00:00
PO_CLOTH01_20241007_DC_01_000072|2024-10-07 00:00:00|0|Placed|2024-10-15 00:00:00
PO_CLOTH01_20241008_DC_01_IBT_000073|2024-10-08 00:00:00|1|Delivered|2024-10-08 00:00:00
PO_CLOTH01_20241008_DC_01_IBT_000074|2024-10-08 00:00:00|1|Delivered|2024-10-08 00:00:00
PO_CLOTH01_20241008_DC_01_IBT_000075|2024-10-08 00:00:00|1|Delivered|2024-10-08 00:00:00
PO_CLOTH01_20241008_DC_01_IBT_000076|2024-10-08 00:00:00|1|Delivered|2024-10-08 00:00:00
PO_CLOTH01_20241008_DC_01_IBT_000077|2024-10-08 00:00:00|1|Delivered|2024-10-08 00:00:00
PO_CLOTH01_20241009_DC_01_IBT_000078|2024-10-09 00:00:00|1|Delivered|2024-10-09 00:00:00
PO_CLOTH01_20241009_DC_01_IBT_000079|2024-10-09 00:00:00|1|Delivered|2024-10-09 00:00:00
PO_CLOTH01_20241009_DC_01_IBT_000080|2024-10-09 00:00:00|1|Delivered|2024-10-09 00:00:00
PO_CLOTH01_20241009_DC_01_IBT_000081|2024-10-09 00:00:00|1|Delivered|2024-10-09 00:00:00
PO_CLOTH01_20241009_DC_01_IBT_000082|2024-10-09 00:00:00|1|Delivered|2024-10-09 00:00:00
PO_CLOTH01_20241010_DC_01_IBT_000083|2024-10-10 00:00:00|1|Delivered|2024-10-10 00:00:00
PO_CLOTH01_20241010_DC_01_IBT_000084|2024-10-10 00:00:00|1|Delivered|2024-10-10 00:00:00
PO_CLOTH01_20241010_DC_01_IBT_000085|2024-10-10 00:00:00|1|Delivered|2024-10-10 00:00:00
PO_CLOTH01_20241010_DC_01_IBT_000086|2024-10-10 00:00:00|1|Delivered|2024-10-10 00:00:00
PO_CLOTH01_20241010_DC_01_IBT_000087|2024-10-10 00:00:00|1|Delivered|2024-10-10 00:00:00
