PurchaseOrderNumber|PurchaseOrderLineNumber|SiteCode|ItemCode|EstimatedReceiptDate|OrderedQuantity|OrderLineStatusIndicator|SupplierCode|CurrencyCode|IBTSiteCode|OutstandingQuantity|CostPerUnit
PO_CLOTH01_20241001_DC_01_IBT_000001|1|STORE_001|ITM_BAS_0002|2024-10-01 00:00:00|20|Delivered||USD|DC_01|0|9.27
PO_CLOTH01_20241001_DC_01_IBT_000001|2|STORE_001|ITM_BAS_0003|2024-10-01 00:00:00|1|Delivered||USD|DC_01|0|3.79
PO_CLOTH01_20241001_DC_01_IBT_000001|3|STORE_001|ITM_BAS_0004|2024-10-01 00:00:00|28|Delivered||USD|DC_01|0|6.07
PO_CLOTH01_20241001_DC_01_IBT_000001|4|STORE_001|ITM_BAS_0005|2024-10-01 00:00:00|34|Delivered||USD|DC_01|0|3.4
PO_CLOTH01_20241001_DC_01_IBT_000001|5|STORE_001|ITM_BAS_0006|2024-10-01 00:00:00|20|Delivered||USD|DC_01|0|4.69
PO_CLOTH01_20241001_DC_01_IBT_000001|6|STORE_001|ITM_BAS_0007|2024-10-01 00:00:00|4|Delivered||USD|DC_01|0|6.64
PO_CLOTH01_20241001_DC_01_IBT_000001|7|STORE_001|ITM_BAS_0008|2024-10-01 00:00:00|35|Delivered||USD|DC_01|0|3.38
PO_CLOTH01_20241001_DC_01_IBT_000001|8|STORE_001|ITM_BAS_0009|2024-10-01 00:00:00|17|Delivered||USD|DC_01|0|4.55
PO_CLOTH01_20241001_DC_01_IBT_000001|9|STORE_001|ITM_BAS_0010|2024-10-01 00:00:00|34|Delivered||USD|DC_01|0|7.62
PO_CLOTH01_20241001_DC_01_IBT_000001|10|STORE_001|ITM_TOP_0011|2024-10-01 00:00:00|48|Delivered||USD|DC_01|0|20.03
PO_CLOTH01_20241001_DC_01_IBT_000001|11|STORE_001|ITM_TOP_0012|2024-10-01 00:00:00|29|Delivered||USD|DC_01|0|12.63
PO_CLOTH01_20241001_DC_01_IBT_000001|12|STORE_001|ITM_TOP_0013|2024-10-01 00:00:00|27|Delivered||USD|DC_01|0|21.04
PO_CLOTH01_20241001_DC_01_IBT_000001|13|STORE_001|ITM_TOP_0014|2024-10-01 00:00:00|15|Delivered||USD|DC_01|0|26.06
PO_CLOTH01_20241001_DC_01_IBT_000001|14|STORE_001|ITM_TOP_0015|2024-10-01 00:00:00|50|Delivered||USD|DC_01|0|7.75
PO_CLOTH01_20241001_DC_01_IBT_000001|15|STORE_001|ITM_TOP_0016|2024-10-01 00:00:00|39|Delivered||USD|DC_01|0|25.97
PO_CLOTH01_20241001_DC_01_IBT_000001|16|STORE_001|ITM_TOP_0017|2024-10-01 00:00:00|7|Delivered||USD|DC_01|0|23.52
PO_CLOTH01_20241001_DC_01_IBT_000001|17|STORE_001|ITM_TOP_0018|2024-10-01 00:00:00|36|Delivered||USD|DC_01|0|15.36
PO_CLOTH01_20241001_DC_01_IBT_000001|18|STORE_001|ITM_TOP_0020|2024-10-01 00:00:00|45|Delivered||USD|DC_01|0|29.42
PO_CLOTH01_20241001_DC_01_IBT_000001|19|STORE_001|ITM_TOP_0021|2024-10-01 00:00:00|60|Delivered||USD|DC_01|0|15.28
PO_CLOTH01_20241001_DC_01_IBT_000001|20|STORE_001|ITM_TOP_0022|2024-10-01 00:00:00|31|Delivered||USD|DC_01|0|9.71
